system,d_auroc_ours_minus,ci_lo,ci_hi,significant,d_ms
fixed::factcc,0.26092686623208355,0.2457233982128091,0.2763323128880134,True,67.68294457050789
fixed::lettuce_v2,0.18113871420243183,0.16769171021320475,0.19414891917442229,True,38.866306660160035
fixed::granite_guardian_4_1_3b_factuality_lora,0.17442735730869716,0.15811172382645952,0.19094271432270957,True,-336.2676224551921
fixed::hhem,0.1687751049528262,0.15434005743594853,0.18295363687023247,True,-37.09962867022274
fixed::minicheck_dbta,0.1568776632872026,0.14143010998031766,0.17187644337839333,True,-360.7898483239229
fixed::granite_guardian_3_2_3b_a800m,0.12958395493145788,0.11496341928208817,0.14429939151983331,True,-131.37730876725664
fixed::granite_guardian_3_2_8b_factuality,0.12301634366116498,0.11026843394857135,0.13576605295491462,True,-898.7811245012664
fixed::factkb,0.1189806100851688,0.10552077614917951,0.1319356219291761,True,68.0809220808105
fixed::minicheck_ft5,0.09213034503911131,0.07790113624644024,0.10645083272885601,True,-338.4673173332933
fixed::wecheck,0.05992655275493417,0.04575053092606061,0.073705032086741,True,-246.774351933143
fixed::granite_guardian_3_1_2b,0.053063669689804235,0.04074649023001639,0.06573443705422781,True,-64.8004638317676
fixed::factcg,0.038295445447646494,0.023587259926645603,0.052363178123821665,True,-317.3957681281767
fixed::qwen30_judge,0.029403364466801307,0.016574918223622757,0.042510447897965875,True,-530.1985956700756
fixed::qwen30_fast,0.02437240577925568,0.012627276703122527,0.03618545030223306,True,-160.80429870215806
fixed::alignscore,0.012170141414278069,0.0003804805520975194,0.024258102415662237,True,-564.7525720339383
