system,d_auroc_ours_minus,ci_lo,ci_hi,significant,d_ms
fixed::granite_guardian_4_1_3b_factuality_lora,0.34768929569368395,0.32124546406179383,0.3729505837624864,True,-270.61203599449857
fixed::factcc,0.2516634499133716,0.22603936635219,0.27747038552995895,True,68.54109937393815
fixed::lettuce_v2,0.22304330121172677,0.20361795875274222,0.2423541892727026,True,44.536027629924206
fixed::granite_guardian_3_2_8b_factuality,0.18869606867203775,0.1622836151367207,0.21411073550126594,True,-583.8711238750752
fixed::hhem,0.1573428086906302,0.13878265404255083,0.17488155726475746,True,-117.15413446338121
fixed::minicheck_dbta,0.1451519643244646,0.12074193520314777,0.17043070890687903,True,-374.497556816847
fixed::minicheck_ft5,0.08348249806822582,0.06140472808297054,0.10501542731902312,True,-257.885144228837
fixed::granite_guardian_3_2_3b_a800m,0.06754234690187047,0.04688266205187912,0.0878786510379422,True,-157.7281166804709
fixed::factkb,0.05973210434604227,0.041295716667332054,0.07806381976314636,True,69.1291021837425
fixed::wecheck,0.05343270249758597,0.032916670037609265,0.07388814489435834,True,-389.86922281403497
fixed::factcg,0.042577298715633274,0.0206894317411745,0.06391337140927657,True,-321.36047707723833
fixed::granite_guardian_3_1_2b,0.026721804994712772,0.00916143809958947,0.043153367489767294,True,-25.668392547852648
fixed::alignscore,0.010886250934312813,-0.006245272018586238,0.027526211806007,False,-455.50694763504123
fixed::qwen30_judge,0.007553648594292228,-0.01044324930138705,0.02476827663622626,False,-494.72242024884395
fixed::qwen30_fast,-0.011283111413714252,-0.02874748414607464,0.005524017014095535,False,-105.50312766451901
