system,auroc,auroc_sd,auprc_unsup,acc,bacc,mcc,f1_macro,f1_unsup,prec_unsup,rec_unsup,ece,mce,brier,aurc,ms,p50_ms,p95_ms,p99_ms,qps,ms_part1_basis,p95_ms_part1_basis,mean_calls,macro_auroc,macro_auroc_sample_weighted,worst_corpus_auroc,n,selerr@0.5,selerr@0.6,selerr@0.7,selerr@0.8,selerr@0.9,selerr@1.0,auroc__cogensumm_test,auroc__cogensumm_val,auroc__frank_test,auroc__frank_valid,auroc__ragtruth_test,auroc__ragtruth_train,auroc__unisumeval_dev,auroc__unisumeval_train
OURS,0.7933003646708998,0.0017336722302635004,0.7838260930145542,0.7379346804511279,0.7195056138344909,0.4588752064804481,0.7228890863645592,0.6586226744423391,0.7443772154934339,0.5917627677100494,0.021613434064069317,0.16355177912543267,0.17262456164577752,0.14904672967725738,112.54141989185943,60.184733339486726,312.9971414623657,1014.4477186066948,8.886855315028631,88.18900778163763,241.11585059414205,1.0,0.6708262617325629,0.6987949906212997,0.5020232304595773,8512.0,0.15977443609022557,0.1679655374975524,0.17680429674387382,0.20378854625550663,0.23374233128834354,0.26206531954887213,0.666635708041958,0.5020232304595773,0.8256379306254151,0.8182772545996849,0.646818834067718,0.703595800998025,0.5840083195981478,0.619613015469977
OURS_legacy_hp,0.7899055001708337,0.001170681389440596,0.7801436584382282,0.7350446428571428,0.7168068574817862,0.4524470497646128,0.7202090068975331,0.6559131538071176,0.7385427221879486,0.5903898956617243,0.024000326021185063,0.15420925962467097,0.1741810161883402,0.15215901911970997,112.26382945516693,59.924068744218076,309.57135029274,1042.5476595262667,8.908853987314581,87.8865191652918,237.27552604897932,1.0,0.6670732333470353,0.6957723504176984,0.5032546405009505,8512.0,0.1623825187969925,0.170452320344625,0.17933870426317555,0.20928046989721,0.23791933167993734,0.26495535714285723,0.6625309586247087,0.5032546405009505,0.8250731054854323,0.8093342605315194,0.6409877232142858,0.7020120536416549,0.5795286869162546,0.6138644378614754
fixed::alignscore,0.7811302232566216,0.0013058194376468304,0.7651712945977078,0.7123590225563909,0.6844635988755419,0.40741433302756924,0.6851683031614431,0.5930279201894986,0.7524239632170584,0.4911037891268534,0.021538308105892738,0.13283593433717394,0.18128313726136677,0.15430503426108216,677.2939919257979,376.30315521859814,2195.910576278327,5275.712615766721,1.4764637098826603,677.2938687092693,2195.9104532608762,1.0,0.7239029767005234,0.7388251000240702,0.6014040310857653,8512.0,0.16174812030075186,0.1842177403563736,0.20839207787848274,0.23474302496328928,0.26291606839838144,0.287640977443609,0.7648182546620046,0.6014040310857653,0.8166164468064915,0.8181490666577298,0.7926524089749536,0.733753910824463,0.6175869241032885,0.6462427704894906
fixed::qwen30_fast,0.768927958891644,0.0031861176106548895,0.7765669316117043,0.7493421052631579,0.7186290561744286,0.4961903438148404,0.721374624012846,0.6331455568594064,0.8471885580108072,0.505738605161999,0.014397489042853201,0.10440644122605118,0.1733175626795572,0.15661416829530297,273.34571859401757,226.9485583989039,506.33147047252504,1334.2954537318524,3.6583708175258978,273.3456029523587,506.33135489770194,1.0,0.7076699751202957,0.6961426647632867,0.60744926199262,8512.0,0.18207236842105262,0.1913843743880948,0.19927828130245046,0.20352422907488985,0.22388722098942698,0.25065789473684214,0.7534965034965034,0.60744926199262,0.8224955810477365,0.8152912295988471,0.65192884682282,0.6256263600492896,0.6898418491484184,0.6952301688061315
fixed::qwen30_judge,0.7638970002040985,0.002056695492341101,0.7512448197222814,0.7514450187969924,0.7189886584418381,0.5052406111358746,0.7212734616870403,0.6296252517890263,0.8690796502526121,0.49401427786930263,0.02029399012305629,0.23187157685998488,0.17309504859604102,0.16432971393215462,642.7400155619351,502.42382905986324,1394.5227933294418,1777.2881660331864,1.5558390263374524,642.7399050988008,1394.5226827287115,1.0,0.7373657600250342,0.7268369265523787,0.6505073800738008,8512.0,0.17906484962406016,0.1903465831212062,0.20055387713997982,0.20895741556534508,0.2180916329460906,0.2485549812030075,0.7893374854312354,0.6505073800738008,0.8295234945904907,0.8115000502697811,0.725275756609462,0.66750249615472,0.7165842555529393,0.7086951615178445
fixed::factcg,0.7550049192232533,0.0022439513164495485,0.7586915518424149,0.7303336466165413,0.6984653602111799,0.4535150175172971,0.6991363130815702,0.602320951178175,0.8164718018881244,0.477567270730368,0.020787890282362866,0.20713385715076274,0.18411392390993464,0.17246039744895886,429.93718802003605,143.46078521613398,1562.3559496260027,4053.751822876138,2.325921152820578,429.9370665275078,1562.355828801807,1.0,0.7396734104056766,0.7531582292041658,0.6367200376736519,8512.0,0.19273966165413534,0.20170354415508127,0.2140315542128231,0.22845814977973564,0.24635165122046732,0.2696663533834587,0.7941178613053614,0.6670552387342055,0.8347832340799088,0.8167373236368511,0.7718340532235621,0.7557899319210668,0.6367200376736519,0.6403496026708045
fixed::granite_guardian_3_1_2b,0.7402366949810955,0.001289763838296657,0.7290452969885874,0.7063792293233083,0.6723280132427181,0.39996729929641295,0.6696990732193961,0.5596768185529074,0.7812041064883842,0.4362987369577155,0.021127906632528042,0.13932295544139292,0.19460490594632393,0.19168673411324239,177.34188372362698,140.98791083573923,325.1807721702763,912.4469909375393,5.63882585998928,177.3417632202665,325.1806539599784,1.0,0.7081977046977213,0.6925040704374998,0.5991410880017891,8512.0,0.20939849624060153,0.22353632269434112,0.23875461564283315,0.25563876651982376,0.27290170995953533,0.2936207706766917,0.7940869026806527,0.5991410880017891,0.8433124050963272,0.8319221488655787,0.6207766842532466,0.6041793659220807,0.6628051173377286,0.7093579254243665
fixed::wecheck,0.7333738119159656,0.0018851822637200094,0.7233804864578983,0.6985079887218045,0.660349961153641,0.3884286747792575,0.6534708491951684,0.5286785296739062,0.7989242848959943,0.3958539264140582,0.02146795789850893,0.09829881687368033,0.1958114452607409,0.19150885854385574,359.3157718250025,142.48011071802733,1296.060983428173,3240.787236986997,2.7830673697424833,359.31564974465715,1296.0608599882103,1.0,0.7275258474736372,0.7263825667288432,0.6483027234910915,8512.0,0.2119360902255639,0.22762874485999607,0.24548506210137627,0.2636417033773862,0.28222164208327893,0.3014920112781955,0.7687044726107226,0.6773398188527339,0.8352479655025151,0.8022152216897348,0.6956422483766234,0.6785687365633684,0.6483027234910915,0.7141855927023087
fixed::minicheck_ft5,0.7011700196317884,0.0018208123956849596,0.6624043118192293,0.6843984962406016,0.6572380858949942,0.3434487756868738,0.656834899686267,0.5596778821871913,0.6947027144810881,0.46897309170785284,0.023928165759237202,0.35976095647160056,0.21019878404051656,0.251918855012292,451.0087372251527,177.6910717869408,1750.7887820496665,4330.678902549119,2.2172519453892083,451.00861609830815,1750.7886601379141,1.0,0.70671908532805,0.7070737646783867,0.5817106192606546,8512.0,0.25582706766917296,0.2609751321715293,0.27051023833501175,0.28317180616740095,0.29720663098812167,0.3156015037593985,0.7733409819347319,0.6362469249692497,0.800299539717187,0.8131505747511646,0.7201961821660483,0.665511908351249,0.5817106192606546,0.6632959514741147
fixed::factkb,0.674319754585731,0.0025496694529978828,0.6902971185532502,0.6997415413533835,0.6527216131218377,0.4209321615141314,0.635389714642372,0.4822166130728413,0.9198157891698647,0.3267984623833059,0.02501222345197566,0.27954205057456155,0.19998724267979776,0.2143904427786702,44.460497811048945,23.040129097368904,150.51529360918727,385.3366512274155,22.491875917581147,44.46038095934489,150.5151769524673,1.0,0.6252210244354875,0.623313116355467,0.4733615885723255,8512.0,0.2511748120300752,0.26481300176228706,0.27306143001007044,0.279632892804699,0.28735152068920505,0.3002584586466165,0.6587430798368299,0.5521818740914682,0.8568600526715384,0.8533814806126212,0.5359922164888683,0.532574136341391,0.4733615885723255,0.5386737668688578
fixed::granite_guardian_3_2_8b_factuality,0.6702840210097347,0.005474616818820459,0.6870538483116524,0.7031954887218045,0.6568513250047642,0.4276627288394203,0.6410773593430796,0.4917644700319337,0.9199224697478947,0.335612300933553,0.01762051194854041,0.14825614322117583,0.19798108991545166,0.21494758136640052,1011.322544393126,1011.5196244282499,1649.8310950629548,3125.168700038142,0.9888042203193242,1011.3224318095017,1649.8309830785724,1.0,0.6743926066646584,0.6517739675969753,0.5613157466397497,8512.0,0.25143327067669174,0.2676718229880556,0.2758475998657267,0.28196769456681353,0.28680328938780836,0.2968045112781955,0.7706949300699302,0.5782392653471989,0.783411579434374,0.7938251952143169,0.6337263740723562,0.5613157466397497,0.6399497684640137,0.633977994075328
fixed::granite_guardian_3_2_3b_a800m,0.6637164097394418,0.002017959050726255,0.6448194572320098,0.6634985902255639,0.618129821261644,0.3124044417068543,0.5979698246095329,0.43567640653826245,0.771473957824224,0.30365183964854475,0.021030969719368384,0.14823439782070194,0.2152029197788708,0.25515050097780334,243.91872865911614,199.9347120907898,465.300746041438,785.9303012174456,4.0997261895273756,243.91861031635307,465.3006297972752,1.0,0.6519463077993445,0.641020221501566,0.5454957788214246,8512.0,0.2851268796992481,0.29672997846093596,0.30434709634105406,0.3107929515418502,0.32178566766740635,0.3365014097744361,0.7070622086247087,0.5454957788214246,0.8040083455917244,0.7933032273199504,0.5904963618970315,0.5472600468861973,0.5701730633388273,0.6577714299148917
