system,verifier,features,heads,routing,platt,isotonic,end_to_end,part1_basis,uncharged_by_part1,measured_mean_ms
fixed::granite_guardian_3_2_8b_factuality,1011.3224318095017,0.0,0.0,0.0,8.237495397847134e-05,3.0208670089047146e-05,1011.3225443931258,1011.322431809502,0.00011258362383159692,1011.3225443931258
fixed::alignscore,677.2938687092693,0.0,0.0,0.0,8.260650773943206e-05,4.0610020767047884e-05,677.2939919257977,677.2938687092692,0.00012321652855007414,677.2939919257977
fixed::qwen30_judge,642.739905098801,0.0,0.0,0.0,8.22906132181975e-05,2.817252087489968e-05,642.7400155619351,642.739905098801,0.0001104631340922424,642.740015561935
fixed::minicheck_dbta,473.3311493573705,0.0,0.0,0.0,8.200268993298374e-05,3.685572186154068e-05,473.3312682157823,473.3311493573706,0.00011885841172443179,473.33126821578236
fixed::minicheck_ft5,451.00861609830815,0.0,0.0,0.0,8.215218624405351e-05,3.897465834378998e-05,451.00873722515274,451.00861609830815,0.00012112684458998046,451.00873722515274
fixed::granite_guardian_4_1_3b_factuality_lora,448.8089244937499,0.0,0.0,0.0,8.151293455821565e-05,3.634036711719775e-05,448.80904234705156,448.8089244937499,0.00011785330167413122,448.80904234705156
fixed::factcg,429.9370665275078,0.0,0.0,0.0,8.221980683321503e-05,3.9272721469182613e-05,429.9371880200361,429.9370665275078,0.00012149252830795376,429.93718802003616
fixed::wecheck,359.31564974465715,0.0,0.0,0.0,8.204324501975793e-05,4.003710030776989e-05,359.31577182500246,359.31564974465715,0.00012208034530658551,359.31577182500246
fixed::qwen30_fast,273.3456029523587,0.0,0.0,0.0,8.233976764576001e-05,3.330189114545045e-05,273.3457185940175,273.3456029523588,0.0001156416587377862,273.3457185940175
fixed::granite_guardian_3_2_3b_a800m,243.91861031635312,0.0,0.0,0.0,8.149930666908937e-05,3.68434563339329e-05,243.91872865911614,243.91861031635312,0.00011834276301669888,243.91872865911608
fixed::granite_guardian_3_1_2b,177.34176322026653,0.0,0.0,0.0,8.098761794060824e-05,3.951574255647996e-05,177.341883723627,177.34176322026653,0.00012050336047764176,177.34188372362703
fixed::hhem,149.64093272946866,0.0,0.0,0.0,8.235760075117844e-05,3.347501277810232e-05,149.64104856208218,149.64093272946866,0.00011583261351688634,149.64104856208218
OURS,78.8552608036257,33.22136512419523,0.46431178197672535,0.0002596170361357007,0.00017533498562540432,4.723004003197702e-05,112.54141989185945,88.18900778163763,24.35241211022182,112.54141989185943
OURS_legacy_hp,78.55277218727987,33.22136512419523,0.4892271272326884,0.00024176993663685745,0.00017716403930585162,4.6082483211482075e-05,112.26382945516694,87.8865191652918,24.37731028987514,112.26382945516694
fixed::lettuce_v2,73.67500418027853,0.0,0.0,0.0,8.175150339541557e-05,2.729991746648859e-05,73.6751132316994,73.67500418027853,0.00010905142086414799,73.6751132316994
fixed::factcc,44.85835787706211,0.0,0.0,0.0,8.316751621152394e-05,3.427677321659368e-05,44.858475321351534,44.85835787706211,0.00011744428942250806,44.85847532135154
fixed::factkb,44.46038095934489,0.0,0.0,0.0,8.324181098736914e-05,3.3609893064824704e-05,44.460497811048945,44.46038095934489,0.00011685170405684175,44.460497811048945
