protocol,seed,rotation,system,n,verifier,features,heads,routing,platt,isotonic
A,17,0,OURS,902,72.09002805747656,33.262395552338745,0.4522827128638893,0.00016001884517323912,0.00016381597547005127,3.890133490724006e-05
A,17,0,OURS_legacy_hp,902,82.68520956619064,33.262395552338745,0.4371512594160174,0.00016200553652667287,0.0001603026559190234,3.3154102773333336e-05
A,17,0,fixed::factcc,902,45.181180841182076,0.0,0.0,0.0,7.55831478173925e-05,3.5654112129800536e-05
A,17,0,fixed::factkb,902,45.18288766968239,0.0,0.0,0.0,7.707317036570373e-05,3.0048785368785956e-05
A,17,0,fixed::hhem,902,173.74687474276487,0.0,0.0,0.0,7.574389646854046e-05,3.249778235723531e-05
A,17,0,fixed::wecheck,902,526.9077790862926,0.0,0.0,0.0,7.565521367695472e-05,3.964633811492382e-05
A,17,0,fixed::factcg,902,462.7214841826761,0.0,0.0,0.0,7.666518435216697e-05,3.927273140443766e-05
A,17,0,fixed::minicheck_dbta,902,528.5751838130569,0.0,0.0,0.0,7.439577929312136e-05,3.641686157556767e-05
A,17,0,fixed::minicheck_ft5,902,466.1049608377951,0.0,0.0,0.0,7.315299410719895e-05,3.5671842234940195e-05
A,17,0,fixed::alignscore,902,716.4822712658978,0.0,0.0,0.0,7.439577929312136e-05,4.108315421487236e-05
A,17,0,fixed::lettuce_v2,902,73.68480239958299,0.0,0.0,0.0,7.357982339899152e-05,2.5206208053538514e-05
A,17,0,fixed::granite_guardian_3_1_2b,902,172.6056557703862,0.0,0.0,0.0,7.372061559876754e-05,3.76230572451509e-05
A,17,0,fixed::granite_guardian_3_2_3b_a800m,902,242.84219139472023,0.0,0.0,0.0,7.48214954117978e-05,3.65055443671534e-05
A,17,0,fixed::granite_guardian_3_2_8b_factuality,902,994.9997099620244,0.0,0.0,0.0,7.375720511510671e-05,3.278049606284717e-05
A,17,0,fixed::granite_guardian_4_1_3b_factuality_lora,902,443.35388964364853,0.0,0.0,0.0,7.28702965345308e-05,3.3436800346001485e-05
A,17,0,fixed::qwen30_fast,902,266.5154403816401,0.0,0.0,0.0,7.588580184143259e-05,3.177050925469121e-05
A,17,0,fixed::qwen30_judge,902,626.112093219252,0.0,0.0,0.0,7.405876209897437e-05,2.637805668595856e-05
A,17,1,OURS,906,62.89411722708758,22.531412769348396,0.39491366227409264,0.00015715784154252599,0.0001601423815336843,3.164680173546569e-05
A,17,1,OURS_legacy_hp,906,62.47594165090198,22.531412769348396,0.45502046357648074,0.00015652207061483896,0.00016551213462325122,3.284878029629884e-05
A,17,1,fixed::factcc,906,36.125202898803956,0.0,0.0,0.0,7.562142067997989e-05,2.952760278718098e-05
A,17,1,fixed::factkb,906,36.78485541116183,0.0,0.0,0.0,7.519756804094969e-05,3.143597564353684e-05
A,17,1,fixed::hhem,906,136.87083773940333,0.0,0.0,0.0,7.595696600121148e-05,3.097572715471912e-05
A,17,1,fixed::wecheck,906,296.7284750214238,0.0,0.0,0.0,7.525055564397218e-05,3.888851576988435e-05
