protocol,seed,system,n,verifier,features,heads,routing,platt,isotonic
B,17,OURS,3236,76.3136791533101,27.29291416183124,0.030373677994701344,6.259147484173218e-05,8.37635986316415e-05,1.965914731321463e-05
B,17,OURS_legacy_hp,3236,77.69664474566372,27.29291416183124,0.030961248765770652,6.282879787207119e-05,6.486093955677422e-05,1.9397095920131237e-05
B,17,fixed::factcc,3236,37.602541001972064,0.0,0.0,0.0,2.80497519544594e-05,1.7681089647192558e-05
B,17,fixed::factkb,3236,37.01453778784255,0.0,0.0,0.0,2.8198081658973515e-05,1.7908528527447538e-05
B,17,fixed::hhem,3236,223.29777995245803,0.0,0.0,0.0,2.7214154540371193e-05,1.436835693797541e-05
B,17,fixed::wecheck,3236,496.01285699078085,0.0,0.0,0.0,2.7401733044673066e-05,2.4756801036061034e-05
B,17,fixed::factcg,3236,427.50411280639327,0.0,0.0,0.0,2.7411931976606914e-05,2.5978060178769514e-05
B,17,fixed::minicheck_dbta,3236,480.6411952140502,0.0,0.0,0.0,2.6932325853352587e-05,2.295210272849656e-05
B,17,fixed::minicheck_ft5,3236,364.02877976621477,0.0,0.0,0.0,2.7209207968445602e-05,2.1730839088904512e-05
B,17,fixed::alignscore,3236,561.6505837401235,0.0,0.0,0.0,2.765914815079711e-05,2.3431398566784648e-05
B,17,fixed::lettuce_v2,3236,61.60762110813256,0.0,0.0,0.0,2.71844841025848e-05,1.093726625322964e-05
B,17,fixed::granite_guardian_3_1_2b,3236,131.81202981387514,0.0,0.0,0.0,2.6848270105686137e-05,2.1394620595122277e-05
B,17,fixed::granite_guardian_3_2_3b_a800m,3236,263.87175500455834,0.0,0.0,0.0,2.7713533460677166e-05,2.2151113330353194e-05
B,17,fixed::granite_guardian_3_2_8b_factuality,3236,690.0147674194055,0.0,0.0,0.0,2.7886591527935657e-05,1.5787699305002285e-05
B,17,fixed::granite_guardian_4_1_3b_factuality_lora,3236,376.7556717445145,0.0,0.0,0.0,2.7357542169843288e-05,2.5290787972311854e-05
B,17,fixed::qwen30_fast,3236,211.64676892352674,0.0,0.0,0.0,2.696693386929743e-05,2.098392921255853e-05
B,17,fixed::qwen30_judge,3236,600.8660680483031,0.0,0.0,0.0,2.7238873909348426e-05,1.2133500238878212e-05
B,29,OURS,3236,80.12506192524629,27.29291416183124,0.031054604446395427,6.360012132931174e-05,6.805006193045449e-05,1.7894003593520584e-05
B,29,OURS_legacy_hp,3236,78.3349747512097,27.29291416183124,0.03405585104928551,0.0002025185410541739,6.567675967692721e-05,3.93229309133886e-05
B,29,fixed::factcc,3236,37.602541001972064,0.0,0.0,0.0,2.82178634497923e-05,1.7829729636672917e-05
B,29,fixed::factkb,3236,37.01453778784255,0.0,0.0,0.0,2.774320389846356e-05,2.3159454029850083e-05
B,29,fixed::hhem,3236,223.29777995245803,0.0,0.0,0.0,2.7807167570344983e-05,1.442305253282171e-05
B,29,fixed::wecheck,3236,496.01285699078085,0.0,0.0,0.0,2.9285846316061077e-05,2.5809948683436614e-05
B,29,fixed::factcg,3236,427.50411280639327,0.0,0.0,0.0,2.7011435029093447e-05,2.4573548533752264e-05
B,29,fixed::minicheck_dbta,3236,480.6411952140502,0.0,0.0,0.0,2.7273486422176838e-05,2.0316749081885896e-05
B,29,fixed::minicheck_ft5,3236,364.02877976621477,0.0,0.0,0.0,2.7075708985941113e-05,2.3545426043436596e-05
B,29,fixed::alignscore,3236,561.6505837401235,0.0,0.0,0.0,2.7347653522875682e-05,2.358961691826637e-05
B,29,fixed::lettuce_v2,3236,61.60762110813256,0.0,0.0,0.0,2.705098961696388e-05,1.2212609414619075e-05
B,29,fixed::granite_guardian_3_1_2b,3236,131.81202981387514,0.0,0.0,0.0,2.6847959820719895e-05,2.3199318902686755e-05
B,29,fixed::granite_guardian_3_2_3b_a800m,3236,263.87175500455834,0.0,0.0,0.0,2.673949498904245e-05,2.0024721462933442e-05
B,29,fixed::granite_guardian_3_2_8b_factuality,3236,690.0147674194055,0.0,0.0,0.0,2.695178836543799e-05,1.825988802820564e-05
B,29,fixed::granite_guardian_4_1_3b_factuality_lora,3236,376.7556717445145,0.0,0.0,0.0,2.64873277460431e-05,2.5236402662431796e-05
B,29,fixed::qwen30_fast,3236,211.64676892352674,0.0,0.0,0.0,2.7362484244885306e-05,1.812144697065913e-05
B,29,fixed::qwen30_judge,3236,600.8660680483031,0.0,0.0,0.0,2.6774103004987293e-05,1.2143384388962252e-05
B,43,OURS,3236,80.88605566871344,27.29291416183124,0.027034623303650092,6.630964207662125e-05,7.266841981501281e-05,1.7191594876970622e-05
B,43,OURS_legacy_hp,3236,81.68540912052671,27.29291416183124,0.030615178616385047,6.083127319708015e-05,6.750618185035249e-05,1.698392879376729e-05
B,43,fixed::factcc,3236,37.602541001972064,0.0,0.0,0.0,2.874196623595908e-05,2.068232323160471e-05
B,43,fixed::factkb,3236,37.01453778784255,0.0,0.0,0.0,2.8583747884477357e-05,1.6692211459781077e-05
B,43,fixed::hhem,3236,223.29777995245803,0.0,0.0,0.0,2.670488247621404e-05,1.3967859990461943e-05
B,43,fixed::wecheck,3236,496.01285699078085,0.0,0.0,0.0,2.7733315251495953e-05,2.539956758583911e-05
B,43,fixed::factcg,3236,427.50411280639327,0.0,0.0,0.0,2.6902655415566195e-05,2.2329108975770135e-05
B,43,fixed::minicheck_dbta,3236,480.6411952140502,0.0,0.0,0.0,2.683343488679294e-05,2.1147404420932086e-05
B,43,fixed::minicheck_ft5,3236,364.02877976621477,0.0,0.0,0.0,2.704110096999627e-05,2.4138439073410386e-05
B,43,fixed::alignscore,3236,561.6505837401235,0.0,0.0,0.0,2.6833129098710267e-05,2.317954160875154e-05
B,43,fixed::lettuce_v2,3236,61.60762110813256,0.0,0.0,0.0,2.7070766910899095e-05,1.1387206435581147e-05
B,43,fixed::granite_guardian_3_1_2b,3236,131.81202981387514,0.0,0.0,0.0,2.705098961696388e-05,2.4187882308248425e-05
B,43,fixed::granite_guardian_3_2_3b_a800m,3236,263.87175500455834,0.0,0.0,0.0,2.6768850644979032e-05,2.1889061937269803e-05
B,43,fixed::granite_guardian_3_2_8b_factuality,3236,690.0147674194055,0.0,0.0,0.0,2.7189430674510388e-05,1.7824783064747327e-05
B,43,fixed::granite_guardian_4_1_3b_factuality_lora,3236,376.7556717445145,0.0,0.0,0.0,2.690760198749178e-05,2.330315194428842e-05
B,43,fixed::qwen30_fast,3236,211.64676892352674,0.0,0.0,0.0,2.7604758344033482e-05,1.7572620318631545e-05
B,43,fixed::qwen30_judge,3236,600.8660680483031,0.0,0.0,0.0,2.6976827013148604e-05,1.210383429797539e-05
B,7,OURS,3236,77.92854394887067,27.29291416183124,0.033729262051567704,5.961495612941369e-05,6.70021621462036e-05,1.9134734242081604e-05
B,7,OURS_legacy_hp,3236,77.02558478044791,27.29291416183124,0.03484752317448751,0.00018574227384672638,6.701205079317121e-05,4.0796663087179105e-05
B,7,fixed::factcc,3236,37.602541001972064,0.0,0.0,0.0,2.821291687786671e-05,1.97728690017839e-05
B,7,fixed::factkb,3236,37.01453778784255,0.0,0.0,0.0,2.953800906217686e-05,1.9006181831502706e-05
B,7,fixed::hhem,3236,223.29777995245803,0.0,0.0,0.0,2.745148206759378e-05,1.3394313969457123e-05
B,7,fixed::wecheck,3236,496.01285699078085,0.0,0.0,0.0,2.711989986077089e-05,2.3678925025941085e-05
B,7,fixed::factcg,3236,427.50411280639327,0.0,0.0,0.0,2.7515760521325014e-05,2.6319220747593768e-05
B,7,fixed::minicheck_dbta,3236,480.6411952140502,0.0,0.0,0.0,2.757509240313066e-05,2.1646783341238062e-05
B,7,fixed::minicheck_ft5,3236,364.02877976621477,0.0,0.0,0.0,2.6858154255770174e-05,2.691749063445939e-05
B,7,fixed::alignscore,3236,561.6505837401235,0.0,0.0,0.0,2.7362484244885306e-05,2.472713509515821e-05
B,7,fixed::lettuce_v2,3236,61.60762110813256,0.0,0.0,0.0,2.693232135646902e-05,1.0971878766058052e-05
B,7,fixed::granite_guardian_3_1_2b,3236,131.81202981387514,0.0,0.0,0.0,2.8014833653548316e-05,2.221538728720086e-05
B,7,fixed::granite_guardian_3_2_3b_a800m,3236,263.87175500455834,0.0,0.0,0.0,2.7095490776759897e-05,2.547867676157997e-05
B,7,fixed::granite_guardian_3_2_8b_factuality,3236,690.0147674194055,0.0,0.0,0.0,2.6952098650404234e-05,1.586186640570113e-05
B,7,fixed::granite_guardian_4_1_3b_factuality_lora,3236,376.7556717445145,0.0,0.0,0.0,2.7110011213803282e-05,2.396569578800171e-05
B,7,fixed::qwen30_fast,3236,211.64676892352674,0.0,0.0,0.0,2.726854434713482e-05,1.834394377587209e-05
B,7,fixed::qwen30_judge,3236,600.8660680483031,0.0,0.0,0.0,2.7120210145737134e-05,1.201977405342537e-05
B,11,OURS,3236,79.70987482775493,27.29291416183124,0.031355319531757915,0.00023339184123259476,7.024042196663923e-05,4.2230530388132936e-05
B,11,OURS_legacy_hp,3236,79.88957858427533,27.29291416183124,0.041604398022029074,6.028738862009459e-05,6.540512992184245e-05,1.8487326908460616e-05
B,11,fixed::factcc,3236,37.602541001972064,0.0,0.0,0.0,2.8949632319162413e-05,1.0991656059993268e-05
