system,rule,primary,mean_threshold,acc,bacc,mcc,f1_macro,f1_unsup,prec_unsup,rec_unsup,auroc,ece,brier,aurc
OURS,fixed05,False,0.5,0.7406837406015038,0.7231370098113836,0.4643529524115776,0.7266671689430831,0.6648912042734663,0.7438891787433738,0.6015101592531575,0.7933003646708998,0.021613434064069317,0.17262456164577752,0.1488000047696111
OURS,mcc,True,0.5409516616690339,0.7379346804511279,0.7195056138344909,0.4588752064804481,0.7228890863645592,0.6586226744423391,0.7443772154934339,0.5917627677100494,0.7933003646708998,0.021613434064069317,0.17262456164577752,0.14904672967725738
OURS,youden,False,0.6569606625598118,0.7363956766917293,0.7330843783511327,0.4643856634733824,0.7319238406693767,0.6974219729975558,0.6853624708800862,0.7101317957166391,0.7933003646708998,0.021613434064069317,0.17262456164577752,0.1494842939452925
OURS,conformal,False,0.7981701750299317,0.7286184210526316,0.733495089797672,0.4621425706250027,0.7271949586415938,0.7075667328675205,0.656512604510178,0.7672981878088961,0.7933003646708998,0.021613434064069317,0.17262456164577752,0.1516679262700858
OURS_legacy_hp,fixed05,False,0.5,0.7390037593984963,0.7204399054155997,0.460799294354908,0.724032668550499,0.65983002005969,0.7460574307380972,0.5917627677100494,0.7899055001708337,0.024000326021185063,0.1741810161883402,0.15184778306627328
OURS_legacy_hp,mcc,True,0.5431782725074688,0.7350446428571428,0.7168068574817862,0.4524470497646128,0.7202090068975331,0.6559131538071176,0.7385427221879486,0.5903898956617243,0.7899055001708337,0.024000326021185063,0.1741810161883402,0.15215901911970997
OURS_legacy_hp,youden,False,0.6360744743585582,0.7320136278195488,0.7272331300242325,0.45382639362249355,0.726764064970704,0.6890497184421482,0.6843654335261954,0.6940966501922021,0.7899055001708337,0.024000326021185063,0.1741810161883402,0.15266665351596787
OURS_legacy_hp,conformal,False,0.7992486367898519,0.7226738721804511,0.7287708200133736,0.45287244120141273,0.7215622912937334,0.7040691168407193,0.6478584319184205,0.7710323997803404,0.7899055001708337,0.024000326021185063,0.1741810161883402,0.15552374123867102
fixed::factcc,fixed05,False,0.5,0.5689144736842104,0.510608179498369,0.03607584310158295,0.4411979324212984,0.17412433361676616,0.48366102169979897,0.10645249862712795,0.5323734984388162,0.019723911366617976,0.2454351349850627,0.4105352881073099
fixed::factcc,mcc,True,0.627565500607325,0.5152255639097744,0.5161169202110445,0.03224883222729627,0.5102613293061877,0.47738127769256655,0.44383830500846455,0.5222954420647995,0.5323734984388162,0.019723911366617976,0.2454351349850627,0.44376608786448857
