system,coverage,selective_error
OURS,0.02,0.016923076923076874
OURS,0.04,0.014728682170542661
OURS,0.06,0.01494845360824737
OURS,0.08,0.011196911196911175
OURS,0.1,0.008950617283950657
OURS,0.12000000000000001,0.007474226804123685
OURS,0.13999999999999999,0.0064017660044150436
OURS,0.16,0.008494208494208478
OURS,0.18,0.01872852233676976
OURS,0.19999999999999998,0.04435857805255024
OURS,0.22,0.08230337078651687
OURS,0.24,0.10283140283140284
OURS,0.26,0.11759809750297263
OURS,0.28,0.12483443708609274
OURS,0.30000000000000004,0.12801235839340888
OURS,0.32,0.1291505791505792
OURS,0.34,0.1320909090909091
OURS,0.36000000000000004,0.13510729613733904
OURS,0.38,0.137479674796748
OURS,0.4,0.13817619783616691
OURS,0.42000000000000004,0.1381898454746137
OURS,0.44,0.13721910112359553
OURS,0.46,0.1371390194761585
OURS,0.48000000000000004,0.14108177720540888
OURS,0.5,0.1433868974042027
OURS,0.52,0.14616755793226383
OURS,0.54,0.1484831139095592
OURS,0.56,0.14839955849889627
OURS,0.5800000000000001,0.1468300479488546
OURS,0.6,0.14752832131822863
OURS,0.62,0.15249252243270192
OURS,0.64,0.15692901979719945
OURS,0.66,0.16221910112359547
OURS,0.68,0.1695
OURS,0.7000000000000001,0.1759823399558499
OURS,0.7200000000000001,0.18317596566523603
OURS,0.74,0.18997912317327764
OURS,0.76,0.19735664904432695
OURS,0.78,0.20427892234548337
OURS,0.8,0.21151023561220547
OURS,0.8200000000000001,0.21853805576488322
OURS,0.8400000000000001,0.2228476821192053
OURS,0.86,0.2270212001437298
OURS,0.88,0.23110955056179777
OURS,0.9,0.2338942307692308
OURS,0.92,0.23903258313738665
OURS,0.9400000000000001,0.24746877054569363
OURS,0.9600000000000001,0.2565819118120374
OURS,0.98,0.26196783349101227
OURS,1.0,0.2635352286773795
OURS_legacy_hp,0.02,0.018461538461538418
OURS_legacy_hp,0.04,0.014728682170542661
OURS_legacy_hp,0.06,0.01494845360824737
OURS_legacy_hp,0.08,0.011196911196911175
