system,auroc_stage1,auroc_stage2,d_auroc,ece_stage1,ece_stage2,d_ece,brier_stage1,brier_stage2,d_brier
fixed::hhem,0.6291270983048227,0.6652132912189332,0.036086192914110526,0.18942954886508595,0.12600455821570086,-0.06342499064938509,0.2529911929454757,0.23292047338808194,-0.02007071955739373
fixed::lettuce_v2,0.5997490128719886,0.5995127986978368,-0.00023621417415176094,0.15067830485295983,0.15271124060467095,0.0020329357517111235,0.2562364422493798,0.2574662647881725,0.0012298225387927242
fixed::minicheck_ft5,0.7396393179487946,0.7390736018413376,-0.0005657161074569261,0.12881657538372437,0.12191351183733559,-0.006903063546388782,0.2166862165185237,0.21586261527505807,-0.0008236012434656437
fixed::qwen30_judge,0.8156027269495036,0.8150024513152714,-0.0006002756342322613,0.0985369386950625,0.05597169708571963,-0.04256524160934287,0.17707047194526584,0.16377298846455962,-0.013297483480706224
fixed::granite_guardian_4_1_3b_factuality_lora,0.47548005402461574,0.47486680421587957,-0.0006132498087361715,0.16600602978586526,0.27709814844900943,0.11109211866314417,0.27706621197241443,0.33311837351231127,0.05605216153989684
fixed::qwen30_fast,0.8344935077460415,0.8338392113232777,-0.0006542964227638226,0.07896056023967335,0.025056996077055062,-0.05390356416261829,0.16924112495098775,0.15688457976374826,-0.012356545187239498
fixed::wecheck,0.7707252869722832,0.7691233974119775,-0.0016018895603056027,0.0984988840439325,0.09245939729466607,-0.006039486749266437,0.19570653967169493,0.19609301229997225,0.0003864726282773179
fixed::factcg,0.7816679889608527,0.7799788011939303,-0.0016891877669223954,0.0996268155913275,0.09607384923316317,-0.0035529663581643223,0.18717050865718265,0.1886244829316506,0.0014539742744679451
fixed::alignscore,0.814600194497802,0.8116698489752506,-0.0029303455225513364,0.04825722741875892,0.04345311441247235,-0.004804113006286574,0.17189655724934577,0.17279405386826835,0.0008974966189225775
OURS_legacy_hp,0.8199623557579884,0.816645119586296,-0.003317236171692328,0.11053342931663308,0.03772859403811892,-0.07280483527851417,0.1870258189761504,0.17137098638963721,-0.01565483258651318
fixed::granite_guardian_3_1_2b,0.7993209033852644,0.7958342949148508,-0.003486608470413599,0.06141121490758235,0.05570204038344576,-0.005709174524136586,0.18277969425615193,0.18276399562101292,-1.569863513900538e-05
OURS,0.8260844630241767,0.8225560999095635,-0.003528363114613242,0.1139319679092127,0.03882592944797744,-0.07510603846123526,0.18544590115409737,0.16854769793906116,-0.01689820321503621
fixed::minicheck_dbta,0.6819325626137872,0.677404135585099,-0.0045284270286881645,0.1433444521829469,0.129627132929825,-0.01371731925312189,0.24797273108947593,0.24016522159864545,-0.007807509490830478
fixed::factkb,0.7685826345840974,0.7628239955635212,-0.005758639020576162,0.10866221331715535,0.059454985110261795,-0.04920722820689356,0.19930852104912464,0.1828685447497643,-0.016439976299360337
fixed::granite_guardian_3_2_8b_factuality,0.6413224396193782,0.6338600312375258,-0.0074624083818524145,0.2901385010370154,0.2810752764038606,-0.009063224633154787,0.2635688948382796,0.2655293685903578,0.0019604737520781956
fixed::granite_guardian_3_2_3b_a800m,0.7627710846601246,0.7550137530076931,-0.007757331652431421,0.1610392237259733,0.14207380338995135,-0.018965420336021943,0.22494544565087296,0.22168620401367445,-0.0032592416371985122
fixed::factcc,0.5800292244237495,0.5708926499961919,-0.009136574427557553,0.15474910931120434,0.16127155596174353,0.006522446650539193,0.27135632293190104,0.2716451906657742,0.0002888677338731549
