protocol,seed,beta,val_auroc,val_ms
B,17,0.0,0.7562214084309298,140.28102070792806
B,17,0.1,0.7563871566574237,97.63060507503573
B,17,0.2,0.7454770233958496,83.92757058691286
B,17,0.4,0.73447524111492,79.61470692986951
B,17,0.6,0.5403665180782566,67.27474098444435
B,17,0.8,0.5306595219431153,67.00570986478776
B,17,1.2,0.5298795302890259,66.35006846631914
B,17,1.6,0.5189128476325304,66.0741597261622
B,17,2.4,0.5189128476325304,66.0741597261622
B,17,3.2,0.5189128476325304,66.0741597261622
B,29,0.0,0.7582679420356262,128.792746583118
B,29,0.1,0.7582813066804133,86.35005211466523
B,29,0.2,0.7399564694426943,73.79992230807318
B,29,0.4,0.7184069343414095,70.46537216806574
B,29,0.6,0.5525306909521355,58.86068451430121
B,29,0.8,0.5317276667239437,57.49027819288758
B,29,1.2,0.5467457089944059,56.68141796200916
B,29,1.6,0.5397521813009527,56.34340104061713
B,29,2.4,0.5339061038241977,56.22744461720557
B,29,3.2,0.5339061038241977,56.22744461720557
B,43,0.0,0.7365704577409781,129.41552108764992
B,43,0.1,0.7637595688173723,82.66409497670867
B,43,0.2,0.7528706452116858,72.14272242692387
B,43,0.4,0.7061787220746758,65.9026380405081
B,43,0.6,0.5829108733010467,56.55802805293774
B,43,0.8,0.5572293391657553,54.265688942682736
B,43,1.2,0.546371660678019,53.819634739771374
B,43,1.6,0.5342876113107327,53.70040785177559
B,43,2.4,0.5282455866270895,53.62898107683481
B,43,3.2,0.5282455866270895,53.62898107683481
B,7,0.0,0.7373022890264269,127.68986971766195
B,7,0.1,0.7554298064642891,84.22014812605282
B,7,0.2,0.7394950388053836,73.39184432243297
B,7,0.4,0.7133156498673741,68.52917064174896
B,7,0.6,0.5294056390608115,57.19273821589926
B,7,0.8,0.5215188132429511,55.07431031092052
B,7,1.2,0.5294292170154239,54.71518534078684
B,7,1.6,0.5347401512918755,54.6080145017905
B,7,2.4,0.5261165143923765,54.430474204977
B,7,3.2,0.5261165143923765,54.430474204977
B,11,0.0,0.7390833717181022,145.50983362396488
B,11,0.1,0.7626477813603563,98.74160977563015
B,11,0.2,0.7486603715645631,83.97856399842257
B,11,0.4,0.7334196990634116,80.46506186299955
B,11,0.6,0.5045505143559036,68.79469063066706
B,11,0.8,0.47875403040073694,67.34441134454285
B,11,1.2,0.48162521111622913,67.1161606746288
B,11,1.6,0.4980500537386765,66.68566184270841
B,11,2.4,0.4925092123445417,66.55415032540185
B,11,3.2,0.4925092123445417,66.55415032540185
B,23,0.0,0.7495096786798521,123.81387784896255
B,23,0.1,0.7547717093991404,83.86308461592354
B,23,0.2,0.749473984790646,73.98514160694124
B,23,0.4,0.7167220235053653,66.22219932929796
B,23,0.6,0.5584590760167122,55.229856242595304
B,23,0.8,0.529622170789624,53.07248705836149
B,23,1.2,0.5352843487931709,52.40159181087986
B,23,1.6,0.5329154017253299,52.29691142516551
B,23,2.4,0.5303398058252428,52.15605164715276
B,23,3.2,0.5303398058252428,52.15605164715276
B,31,0.0,0.7319469320572993,148.49015543549297
B,31,0.1,0.7764050822407992,99.92546561620372
B,31,0.2,0.7650895731574585,86.82036320097089
B,31,0.4,0.7428442675852482,80.85085841728186
B,31,0.6,0.5425811428549606,68.20521010767699
B,31,0.8,0.5137978178596389,67.27508303966513
B,31,1.2,0.5214586046369528,67.07788587858924
B,31,1.6,0.5312751811130673,66.70249345032482
B,31,2.4,0.5289169877755839,66.59810887255621
B,31,3.2,0.5289169877755839,66.59810887255621
B,37,0.0,0.7690808179162609,153.77754175159066
B,37,0.1,0.7722570593962998,105.91452202458062
B,37,0.2,0.7592775073028237,96.02860841048162
B,37,0.4,0.7196260954235638,90.4599758940242
B,37,0.6,0.5409698149951314,74.80217209766768
B,37,0.8,0.5266699123661149,74.03619936100624
B,37,1.2,0.537811100292113,73.32927192591686
B,37,1.6,0.5376708860759494,72.92861746398245
B,37,2.4,0.528064264849075,72.75579313305596
B,37,3.2,0.528064264849075,72.75579313305596
B,53,0.0,0.7357096684827777,141.27487191644616
B,53,0.1,0.7466775171607105,87.74823047230637
B,53,0.2,0.7280181303290547,77.72175646304281
B,53,0.4,0.7127485609628467,72.11023600450916
B,53,0.6,0.5211584633853542,58.32801198192885
B,53,0.8,0.5079993535875889,57.433673883711045
B,53,1.2,0.5241500446332379,57.03326922635023
B,53,1.6,0.5213393049527504,56.82249486891076
B,53,2.4,0.5151406716532768,56.74302067151911
B,53,3.2,0.5151406716532768,56.74302067151911
B,61,0.0,0.739283878175022,142.52967910128888
B,61,0.1,0.7688413948256467,90.09796320359148
B,61,0.2,0.749975840648785,76.17538271398824
B,61,0.4,0.7171094592557373,70.79192205002194
B,61,0.6,0.5376673276665159,60.49378478989106
B,61,0.8,0.5197372235687034,59.656834805945486
B,61,1.2,0.5183785016563651,59.149195183313424
B,61,1.6,0.5081484659778353,59.00442757078706
B,61,2.4,0.505848495742156,58.921288727329085
B,61,3.2,0.505848495742156,58.921288727329085
