n_estimators,min_samples_leaf,max_features,max_depth,part1_value,a_val_loss,a_val_auroc,a_sd,b_val_loss,b_val_auroc,b_sd,rank_a_by_loss,rank_a_by_auroc,rank_b_by_loss,rank_b_by_auroc
200,10,0.5,6,,0.013515772368727374,0.752073532405141,0.004517558881187611,0.013284942732335164,0.7593011239959708,0.003334551789323806,2,5,1,8
800,5,0.5,6,,0.01350821426504808,0.7536567044473813,0.003108351952236023,0.013289935721776924,0.760695287418537,0.005167697720220086,1,2,2,7
800,5,log2,10,,0.013555331776404106,0.7529318922453769,0.0021073068649260117,0.013350686448453131,0.7630928753853963,0.00596520453487759,3,3,3,1
200,1,sqrt,6,,0.013578014111675802,0.7501089013422408,0.003511269027489207,0.013379084755984195,0.7571679860005078,0.004453878256658471,5,10,4,11
400,1,sqrt,6,,0.013575772141604806,0.7503980773577814,0.004403547848958792,0.013382618168088067,0.7582304809932927,0.004594587412172884,4,9,5,10
800,5,0.5,10,,0.013592744295397358,0.7514873065026928,0.0011656934895727489,0.013394229035214275,0.7626594545327201,0.0033679850052467423,6,6,6,2
400,10,log2,6,,0.01363054202058977,0.7520956593704694,0.0032815747357665694,0.013394364839378909,0.7586187753162783,0.0032444654050481298,9,4,7,9
200,5,0.5,10,legacy_B,0.013600540138776268,0.7507865935860462,0.002154638026460261,0.01340662828496196,0.7616906889692283,0.0030461748632711334,7,8,8,6
200,10,sqrt,12,,0.013618756337112703,0.7508960727564206,0.0038967076655644505,0.013407311480527201,0.7622746021930388,0.0026188729964891073,8,7,9,3
200,10,log2,24,,0.013637551211351925,0.7472167251505782,0.0037208167840270642,0.01344742104403436,0.7554660646069007,0.007210473039650644,10,13,10,13
400,10,0.5,24,,0.013642393236519895,0.743949114759595,0.002534191366403785,0.013460490488921797,0.7512719510490745,0.006790575512010003,11,15,11,15
200,5,log2,16,,0.013687438980000636,0.7470037299961679,0.00299939809569097,0.013499014630936387,0.7540763964084054,0.00740698913127987,12,14,12,14
400,5,log2,24,,0.013716182274802206,0.7472893928166563,0.002329893292428092,0.013517968524840513,0.755749293638703,0.008355160396996613,13,12,13,12
800,1,sqrt,10,legacy_A,0.013735783040115282,0.7541805095026533,0.0024422625662628506,0.013597083057540298,0.7618090338113442,0.007541545320005547,14,1,14,5
400,5,0.5,16,,0.013785956883838785,0.7419249134683109,0.0032724400094865788,0.013599891120950206,0.7499732752489479,0.005941895600564355,15,16,15,16
200,2,log2,12,,0.013792792589514467,0.7476820694074828,0.003869465285467831,0.013629747794640459,0.7621468819420025,0.004624025418950882,16,11,16,4
