pool,k,n_dominating,val_auroc,sd,val_ms,min_share,beta_mode,share__alignscore,share__factcc,share__factcg,share__factkb,share__granite_guardian_3_1_2b,share__granite_guardian_3_2_3b_a800m,share__granite_guardian_3_2_8b_factuality,share__granite_guardian_4_1_3b_factuality_lora,share__hhem,share__lettuce_v2,share__minicheck_dbta,share__minicheck_ft5,share__qwen30_fast,share__qwen30_judge,share__wecheck,rank_by_auroc,eligible,rank_among_eligible
alignscore+granite_guardian_4_1_3b_factuality_lora+lettuce_v2,3,0,0.777532852831355,0.011790857276653358,540.6398773094573,0.028209558425840192,0.0,0.7467790914839815,,,,,,,0.028209558425840192,,0.22501135009017842,,,,,,1,False,
alignscore+granite_guardian_3_2_3b_a800m+lettuce_v2,3,0,0.7759714725569754,0.01067104086669173,508.7788978227644,0.026470966382226235,0.0,0.7358474766710464,,,,,0.026470966382226235,,,,0.2376815569467273,,,,,,2,False,
alignscore+factkb+lettuce_v2,3,0,0.7746216225661463,0.00899692234635743,563.1119292529919,0.012854490981595124,0.0,0.7632594333225942,,,0.012854490981595124,,,,,,0.22388607569581062,,,,,,3,False,
alignscore+granite_guardian_3_1_2b+lettuce_v2,3,0,0.7742167576307657,0.010591345496534642,581.5178246029549,0.017780625216329813,0.0,0.753407549842602,,,,0.017780625216329813,,,,,0.22881182494106816,,,,,,4,False,
alignscore+hhem+lettuce_v2,3,0,0.7741629782762187,0.011633172578457125,601.1992841134286,0.002267017810861309,0.0,0.7736714675122749,,,,,,,,0.002267017810861309,0.2240615146768638,,,,,,5,False,
alignscore+factcc+lettuce_v2,3,0,0.7741474125488678,0.009567946011370862,579.6972277161374,0.00680604823873536,0.0,0.7679935631292316,0.00680604823873536,,,,,,,,0.22520038863203307,,,,,,6,False,
alignscore+lettuce_v2+minicheck_ft5,3,0,0.7729032117413739,0.011025339749847289,607.2767509045618,0.00019011406844106463,0.0,0.7734691831324666,,,,,,,,,0.2263407027990923,,0.00019011406844106463,,,,7,False,
alignscore+factcg+wecheck,3,0,0.7726389946016698,0.01469209545912629,390.76064487003947,0.08134728587462806,0.1,0.08134728587462806,,0.5395110889462584,,,,,,,,,,,,0.37914162517911343,8,True,1.0
alignscore+factcg+granite_guardian_3_1_2b,3,0,0.7725985182109013,0.015017568008033643,379.7113879684595,0.12765982298278644,0.1,0.12765982298278644,,0.6748165925188851,,0.19752358449832838,,,,,,,,,,,9,True,2.0
factcg+granite_guardian_3_2_3b_a800m+wecheck,3,0,0.7719958818623983,0.013404763739394013,354.57363685007783,0.04026900675910833,0.0,,,0.6412403484904903,,,0.04026900675910833,,,,,,,,,0.3184906447504014,10,False,
factcg+granite_guardian_4_1_3b_factuality_lora+wecheck,3,0,0.7714286155720009,0.014246577224338242,378.0439206308946,0.01099245116154661,0.1,,,0.6175784085825975,,,,,0.01099245116154661,,,,,,,0.37142914025585594,11,False,
alignscore+factcg+qwen30_judge,3,0,0.7711307005095138,0.012957726847139977,442.9049328707655,0.07031548029312784,0.1,0.11565736774299029,,0.814027151963882,,,,,,,,,,,0.07031548029312784,,12,True,3.0
alignscore+lettuce_v2+minicheck_dbta,3,0,0.7710816625089504,0.010966855512798851,610.1213459084548,0.0011320795018850192,0.0,0.7783966912623985,,,,,,,,,0.22047122923571655,0.0011320795018850192,,,,,13,False,
alignscore+factcg+factkb,3,0,0.7709714250594202,0.016256894925556636,370.3454116149873,0.12602172259606942,0.1,0.18611228975169175,,0.6878659876522388,0.12602172259606942,,,,,,,,,,,,14,True,4.0
factcg+minicheck_dbta+wecheck,3,0,0.7708762709482644,0.014948453103738475,389.8965130046594,0.0,0.1,,,0.6193079416321383,,,,,,,,0.0,,,,0.38069205836786174,15,False,
factcg+minicheck_ft5+wecheck,3,0,0.7703505340511116,0.016402388965487343,395.08368285293676,0.0003780718336483932,0.0,,,0.6977257992018158,,,,,,,,,0.0003780718336483932,,,0.3018961289645358,16,False,
factcc+factcg+wecheck,3,0,0.7702390022813318,0.014753558863805348,396.63474933016806,0.03672387584149463,0.0,,0.03672387584149463,0.7562724441520805,,,,,,,,,,,,0.20700368000642486,17,False,
alignscore+lettuce_v2+qwen30_fast,3,0,0.77012074588575,0.0086456409318942,450.8452997434395,0.22799345925842213,0.0,0.4558537209087099,,,,,,,,,0.22799345925842213,,,0.3161528198328679,,,18,True,5.0
alignscore+factcg+granite_guardian_4_1_3b_factuality_lora,3,0,0.7699310231984089,0.020381775524758273,405.66041365744576,0.01193050140708258,0.1,0.1271826326271554,,0.860886865965762,,,,,0.01193050140708258,,,,,,,,19,False,
factcg+granite_guardian_3_1_2b+wecheck,3,0,0.7698153373285805,0.012987313297593426,384.9211648023671,0.15040821553944922,0.0,,,0.6765247278192532,,0.17306705664129746,,,,,,,,,,0.15040821553944922,20,True,6.0
alignscore+lettuce_v2+qwen30_judge,3,0,0.7698046430941711,0.011711296580156762,582.3505657144257,0.17108170379980014,0.0,0.42558671650738755,,,,,,,,,0.17108170379980014,,,,0.40333157969281236,,21,True,7.0
factcg+granite_guardian_3_2_8b_factuality+wecheck,3,0,0.769502899060166,0.014758386142608488,449.16738613876413,0.05005712839683737,0.0,,,0.6999473996765955,,,,0.05005712839683737,,,,,,,,0.2499954719265672,22,True,8.0
alignscore+factcg+granite_guardian_3_2_8b_factuality,3,0,0.7690083171539916,0.01817876148232064,425.60230817224993,0.0,0.2,0.11725098879635869,,0.8827490112036414,,,,0.0,,,,,,,,,23,False,
alignscore+granite_guardian_3_2_8b_factuality+minicheck_dbta,3,0,0.7682713136389192,0.007854450963325274,719.0107407719964,0.005670060265629756,0.1,0.8595576691276607,,,,,,0.005670060265629756,,,,0.13477227060670954,,,,,24,False,
alignscore+factcg+granite_guardian_3_2_3b_a800m,3,0,0.7682660067805205,0.01955519956011595,356.8482546561062,0.0833487050991688,0.1,0.11202983435449447,,0.8046214605463368,,,0.0833487050991688,,,,,,,,,,25,True,9.0
factcg+granite_guardian_3_1_2b+qwen30_judge,3,0,0.7680595219198253,0.015313748658355483,391.6819854934818,0.10598419516209268,0.1,,,0.5581928720124119,,0.3358229328254955,,,,,,,,,0.10598419516209268,,26,True,10.0
factcg+hhem+wecheck,3,0,0.7677307709802459,0.015650699451206403,405.0106240799032,0.011487758945386065,0.0,,,0.7539840069047234,,,,,,0.011487758945386065,,,,,,0.2345282341498905,27,False,
alignscore+factcg+minicheck_ft5,3,0,0.7675856141223757,0.01939356163651067,421.97193538332806,0.003218285252751972,0.1,0.11938122390104629,,0.8774004908462019,,,,,,,,,0.003218285252751972,,,,28,False,
factcg+granite_guardian_3_2_8b_factuality+qwen30_judge,3,0,0.7668029409586389,0.01703165383147546,505.74601705251206,0.05068861875404197,0.0,,,0.8012192504573754,,,,0.05068861875404197,,,,,,,0.14809213078858258,,29,True,11.0
factcg+granite_guardian_3_1_2b+granite_guardian_4_1_3b_factuality_lora,3,0,0.7665989343275245,0.015732509372473037,373.8640463574013,0.016674315586613385,0.0,,,0.7747109311959344,,0.2086147532174522,,,0.016674315586613385,,,,,,,,30,False,
factcg+qwen30_fast+wecheck,3,0,0.7664966013818288,0.014526020475664677,370.9960088655727,0.18626229762306248,0.0,,,0.5434435868043462,,,,,,,,,,0.18626229762306248,,0.27029411557259125,31,True,12.0
alignscore+factcg+hhem,3,0,0.7664597431933827,0.018161786355574066,425.5397518238466,0.039209455590171124,0.1,0.13650279729062093,,0.8242877471192079,,,,,,0.039209455590171124,,,,,,,32,False,
factcg+granite_guardian_3_2_3b_a800m+qwen30_judge,3,0,0.7664376107021686,0.021084657002848676,421.1657742452937,0.04674362867931675,0.1,,,0.8073892659382527,,,0.04674362867931675,,,,,,,,0.14586710538243058,,33,False,
alignscore+factkb+minicheck_dbta,3,0,0.7660741824722608,0.0055404343954177605,699.2973341882638,0.011340067647941392,0.0,0.946689639012334,,,0.011340067647941392,,,,,,,0.04197029333972456,,,,,34,False,
alignscore+factcc+minicheck_dbta,3,0,0.7659831635354872,0.005541579912235184,715.2623189733299,0.005863010057846732,0.0,0.9536901262009488,0.005863010057846732,,,,,,,,,0.040446863741204354,,,,,35,False,
alignscore+lettuce_v2+wecheck,3,0,0.765903346664242,0.01197029532720584,548.6403332814655,0.13931916622672755,0.0,0.6649889726496049,,,,,,,,,0.1956918611236675,,,,,0.13931916622672755,36,True,13.0
factcg+granite_guardian_3_1_2b+minicheck_dbta,3,0,0.7657353848955208,0.013561272922432413,394.78080985978494,0.009457904003153085,0.0,,,0.7755236365886921,,0.21501845940815478,,,,,,0.009457904003153085,,,,,37,False,
factcg+granite_guardian_3_1_2b+minicheck_ft5,3,0,0.7657246586009194,0.013885171481626688,374.8076950659057,0.002650089854833329,0.0,,,0.6856679929624854,,0.3116819171826814,,,,,,,0.002650089854833329,,,,38,False,
factcg+qwen30_judge+wecheck,3,0,0.7654026501315194,0.01580228227862027,433.52689703079477,0.20211882433765044,0.0,,,0.5119458347593737,,,,,,,,,,,0.20211882433765044,0.28593534090297584,39,True,14.0
factcg+minicheck_dbta+qwen30_judge,3,0,0.7653763818347618,0.017911750467922174,467.0070273696398,0.0035916878238319307,0.0,,,0.864812886154201,,,,,,,,0.0035916878238319307,,,0.1315954260219669,,40,False,
alignscore+factcc+factcg,3,0,0.7653579383338199,0.016518705944265237,418.94014145152835,0.032420302125497145,0.1,0.1484293117889304,0.032420302125497145,0.8191503860855726,,,,,,,,,,,,,41,False,
factcg+granite_guardian_3_1_2b+granite_guardian_3_2_8b_factuality,3,0,0.7653548557909321,0.01873999993369112,369.9918993608135,0.0,0.1,,,0.6521123858867781,,0.34788761411322194,,0.0,,,,,,,,,42,False,
