arm,auroc,auroc_sd,d_auroc_vs_ours,ece,d_ece_vs_ours,brier,aurc,bacc,mcc,ms,d_ms_vs_ours,p95_ms,ms_deterministic,mean_calls,auprc_unsup,n,acc,f1_macro,f1_unsup,prec_unsup,rec_unsup,mce,p50_ms,p99_ms,qps,selerr@0.5,selerr@0.6,selerr@0.7,selerr@0.8,selerr@0.9,selerr@1.0
target::pairwise_rank,0.7943584656308389,0.0017215539096098818,0.001058100959939079,0.022100346018447233,0.00048691195437791657,0.17199648437445517,0.14968253026426512,0.7306717826588501,0.47188918533802704,114.7614302856952,2.21871695730988,324.8785351284501,90.40877223414292,1.0,0.7825217225259173,8512.0,0.7439262218045112,0.733461656931757,0.6808626547791448,0.729760980273512,0.6387973640856672,0.143558598791322,60.139296896780024,1132.9308717464737,8.714534638175351,0.16280545112781955,0.17115723516741727,0.1783987915407855,0.19939794419970633,0.22772484009920374,0.2560737781954887
drop_feature::conflicting_value_rate,0.793929075231133,0.001279964279186062,0.00062871056023317,0.020616163197146275,-0.0009972708669230418,0.17228133594990308,0.14867561463856288,0.7223701522393882,0.46436042508255254,113.26557442039953,0.7228610920142131,316.5496537828393,88.9207347046211,1.0,0.7843995537081938,8512.0,0.7405192669172933,0.7258674998669814,0.6627597387670358,0.7471027887984866,0.5965678198791873,0.14262312512502257,60.359205427798464,1060.153575224293,8.830318523159548,0.1596804511278196,0.16773056588995497,0.17658610271903327,0.20318649045521292,0.23258060305443157,0.2594807330827068
OURS,0.7933003646708998,0.0017336722302635004,0.0,0.021613434064069317,0.0,0.17262456164577752,0.14904672967725738,0.7195056138344909,0.4588752064804481,112.54271332838532,0.0,313.00659348722013,88.18900778163763,1.0,0.7838260930145542,8512.0,0.7379346804511279,0.7228890863645592,0.6586226744423391,0.7443772154934339,0.5917627677100494,0.16355177912543267,60.184169142279345,1014.4536044341769,8.886756507036395,0.15977443609022557,0.1679655374975524,0.17680429674387382,0.20378854625550663,0.23374233128834354,0.26206531954887213
drop_feature::year_count,0.7928833724052154,0.0014809042774210142,-0.0004169922656843683,0.021472091695204094,-0.00014134236886522225,0.1727720187446721,0.1495603326495319,0.7200392579386962,0.46021160120570725,112.0657882056408,-0.47692512274451815,312.13940621283865,87.718698188499,1.0,0.7834233438432199,8512.0,0.7385690789473685,0.7235325989056455,0.6592804053129031,0.7459046793944581,0.5915980230642504,0.143560899748427,60.268069846063824,1013.7533927130495,8.923977466879133,0.1611372180451128,0.16917955747013902,0.17707284323598524,0.20450807635829663,0.23380759691946223,0.26143092105263155
target::prob_quality,0.7925207114803676,0.0023689318940763103,-0.0007796531905321924,0.0239529051198946,0.0023394710558252846,0.17299485509115736,0.14995708921322218,0.717017631398232,0.4586481034990289,113.52913376891009,0.9864204405247676,311.7306250510846,89.17704287428843,1.0,0.7822847463787201,8512.0,0.7374882518796992,0.7204621699944522,0.651820068465987,0.7546308504881455,0.5751235584843493,0.16943104825578628,61.49615044970172,1068.8195870695545,8.8129429351786,0.1599154135338346,0.16835715684354807,0.17658610271903327,0.20544787077826726,0.23554366270721835,0.26251174812030076
drop_feature::entity_value_colocation,0.7921602747773804,0.0017024760430908918,-0.001140089893519436,0.021773427567488984,0.0001599935034196677,0.17281213517499022,0.1499351557641702,0.7218747061151725,0.462879686101821,114.62908875326157,2.086375424876252,319.7543291495023,90.28070506991774,1.0,0.7829015076966857,8512.0,0.7398731203007519,0.7253217919397013,0.6623597808774164,0.7451353591151135,0.5971169686985173,0.14289300608358463,60.62729082725684,1057.6409155163399,8.72576757827716,0.16304041353383458,0.1705698061484237,0.178147029204431,0.20334801762114535,0.23248923117086542,0.2601268796992481
no_stage2,0.7908158637479464,0.0012354833904002604,-0.002484500922953381,0.10195570613415621,0.08034227207008689,0.1866015334772268,0.15531730627525697,0.7198149244441137,0.4592343787615662,112.54141989185943,-0.0012934365258843172,312.9971414623657,88.18900778163763,1.0,0.7877959856811358,8512.0,0.7381578947368421,0.7232496817056512,0.6592542036097049,0.7441196729457021,0.592668863261944,0.29104835217548813,60.184733339486726,1014.4477186066948,8.886855315028631,0.1688674812030075,0.1732915606030938,0.17885196374622353,0.21102790014684283,0.24124787886698865,0.2618421052631579
target::brier,0.7904393528839335,0.0011787313314885358,-0.0028610117869662943,0.023404768664616635,0.0017913346005473188,0.17384719142617683,0.1502932135696176,0.7079196224291773,0.44886176099660186,108.05389091599802,-4.488822412387293,292.7812039848501,83.69872169638748,1.0,0.7802722119947643,8512.0,0.7320371240601504,0.7108015103080363,0.6328322583999876,0.7663798018362901,0.5407468423942888,0.15454026586893826,59.41099946750414,896.8446539663606,9.258551220632139,0.15693139097744363,0.1651067162717838,0.17901980530379322,0.21170337738619677,0.24113040073097505,0.26796287593984963
drop_feature::entity_coverage,0.7880502792540145,0.002756749081071782,-0.0052500854168853195,0.02167001523957837,5.658117550905173e-05,0.17471472695603923,0.15478391100715339,0.7165008564240827,0.4544868498131902,110.4303666329816,-2.1123466954037156,302.961062295877,86.08335378590415,1.0,0.7780936884284468,8512.0,0.7358670112781954,0.7199591210973758,0.6534074984568036,0.745564220638671,0.5822624931356397,0.18626164878974735,61.44046731722742,923.0593379219239,9.061841542441794,0.16585996240601503,0.1737027609163893,0.18148707620006715,0.20681350954478708,0.23742331288343554,0.2641329887218046
drop_feature::structured_source_line_ratio,0.7794345853249844,0.0030768491701311552,-0.013865779345915374,0.0237559954732564,0.0021425614091870847,0.17981767276616908,0.16175262784817393,0.7008472171009679,0.4258183028312093,120.01333983821428,7.470626509828961,335.42835842737054,95.66138766041847,1.0,0.7649578388706202,8512.0,0.7220747180451127,0.7033982967776687,0.6295726737183992,0.7335906678652057,0.5537067545304778,0.14944084423503493,63.264052100400725,1129.8012418905475,8.336548659891568,0.16865601503759398,0.1759545721558645,0.1921785834172541,0.2241850220264317,0.2533742331288343,0.2779252819548872
target::is_best,0.7780488810106142,0.0017673180841926445,-0.015251483660285614,0.023616972893894327,0.00200353882982501,0.17971244885755108,0.16051895779058223,0.6992464201022297,0.4291785272604144,124.08078133156012,11.5380680031748,357.8193221787111,99.7402887905937,1.0,0.7675525594295902,8512.0,0.723249530075188,0.7017260354502576,0.621948785111493,0.7498042984341542,0.5328665568369029,0.11822307474888627,62.580950879703565,1137.3806874741429,8.061414210392936,0.17234492481203006,0.18145682396710394,0.19095334004699566,0.22215859030837004,0.2512204673019188,0.27675046992481206
drop_feature::bm25_mean3,0.767141652204996,0.002542775330798925,-0.026158712465903844,0.022690551152244297,0.0010771170881749802,0.1810753369182485,0.17036518746481105,0.7117939462826459,0.4674045237394789,160.3507564631769,47.80804313479159,363.46851626146656,135.99930696763894,1.0,0.7634823270025349,8512.0,0.7391917293233083,0.7146568799275346,0.6311114307954675,0.7997185674494485,0.521883580450302,0.17496184131637432,126.54639097429428,1188.5284869973373,6.239710458858968,0.1888392857142857,0.1996475425886039,0.20817388385364213,0.21948604992657855,0.23835008484532044,0.26080827067669177
keep_compact16_3_only,0.7658695833572952,0.0038563970417029316,-0.027430781313604657,0.021361485905370424,-0.00025194815869889267,0.17973612241515652,0.17048372133849618,0.7156439023620164,0.4766909955754796,159.830720607037,47.288007278651676,363.79548189333843,135.48235087921665,1.0,0.7651004380757774,8512.0,0.7432683270676692,0.7188019941574784,0.6358920476563595,0.8086290564848829,0.5241625480505216,0.19519478037576848,125.98226486704937,1186.3899827580133,6.2608934750752505,0.19243421052631576,0.2024476209124731,0.20787176905001678,0.21729809104258443,0.2342252969586216,0.25673167293233085
keep_base3_only,0.7646767041373345,0.0033495418814598866,-0.028623660533565354,0.02458633016353836,0.0029728960994690433,0.18540897995515526,0.1712153164103413,0.6842966215507646,0.4187366782552167,126.98437147194359,14.441658143558271,341.03501968055286,102.63369022888712,1.0,0.751063633300927,8512.0,0.715531015037594,0.6838653081035221,0.5841528549169344,0.7824730668555037,0.4677924217462933,0.13747733142468926,73.74280305590642,1116.8628961834536,7.911795007499042,0.17922932330827065,0.18977873506951243,0.20827458878818392,0.23691629955947135,0.2629552277770526,0.2844689849624061
target::correctness,0.7621236751925686,0.002310997219303331,-0.031176689478331188,0.0238299124036548,0.002216478339585482,0.18980480478325956,0.2132742329111307,0.7278437508104736,0.4521111225059712,96.36878308419875,-16.173930244186565,298.4733384753881,72.02891559607595,1.0,0.6810287275999931,8512.0,0.7281015037593985,0.7249411971671187,0.6955960097790351,0.6677453932467625,0.7260571114772103,0.23680063271216817,46.52778306441662,1070.4262000365848,10.383216000013055,0.20686090225563908,0.20855688271000586,0.21648204095334003,0.2290602055800294,0.2498498890484271,0.27189849624060153
