arm,d_auroc_ours_minus,ci95_lo,ci95_hi,significant_95,bonf_lo,bonf_hi,significant_bonferroni,n_comparisons,bonferroni_alpha
drop_serving::granite_guardian_3_1_2b,0.1762913800579666,0.1546375890536793,0.19968651387049366,True,0.14546843036457233,0.21299399310237008,True,25,0.002
random_routing_serving,0.1660882060161133,0.1510593387864477,0.1809754486142027,True,0.1429737867582241,0.18962369987264005,True,25,0.002
drop_retrain::granite_guardian_3_1_2b,0.1642525516833322,0.14236578384919704,0.18797430302908302,True,0.1304013048731886,0.20229927484921845,True,25,0.002
random_routing_refit,0.1602475120393833,0.14465576600974414,0.17501809258885054,True,0.13644449423699653,0.1845438954942079,True,25,0.002
drop_serving::lettuce_v2,0.08603659253016689,0.06769169464384293,0.10387770908838537,True,0.059542221219892895,0.11316102945585178,True,25,0.002
target::correctness,0.05699019052900569,0.045696194401983616,0.06901554759060986,True,0.03983443278454619,0.07594672078700884,True,25,0.002
drop_serving::factcc,0.05376777299251438,0.04095288554669494,0.06591736942301372,True,0.033491639865335994,0.0729432974094139,True,25,0.002
no_stage1,0.043684600496845825,0.03207203693939246,0.0563072534619136,True,0.024908949795910146,0.06401734429596707,True,25,0.002
keep_base3_only,0.03696361452081859,0.02422545285477926,0.04911939963553927,True,0.01777929043140741,0.05622237450109085,True,25,0.002
target::is_best,0.03466540599024145,0.024440258935249516,0.04470866694694618,True,0.018202189430577928,0.049679543532524885,True,25,0.002
drop_feature::structured_source_line_ratio,0.03025259837505164,0.017521451975405066,0.04241679281491175,True,0.011621353506971525,0.04928025336972295,True,25,0.002
keep_compact16_3_only,0.0263756356484389,0.01602072277318593,0.036568404798357504,True,0.011079113508375192,0.04381065532110433,True,25,0.002
no_verifier,0.025889027560744193,0.010058006329292917,0.04159660823240982,True,0.001682369394449356,0.052689863561830017,True,25,0.002
drop_retrain::lettuce_v2,0.022552081359938404,0.005497575912440856,0.038497865218168045,True,-0.003404419844815053,0.048588172164558865,False,25,0.002
drop_retrain::factcc,0.01839663314430845,0.006110432312192183,0.03063461277880599,True,0.0006566269542630692,0.03820454521745094,True,25,0.002
drop_feature::bm25_mean3,0.014888841176585432,0.004411437495287069,0.025300668880787462,True,-0.0009645455355516825,0.03180374921734193,False,25,0.002
no_cost,0.013515549682094475,0.0019074935618362794,0.025155322437054473,True,-0.004584915777468961,0.03275619504142024,False,25,0.002
target::pairwise_rank,0.010951102670881174,0.005657065503431972,0.016407344175489724,True,0.002820088741601251,0.01977259678318629,True,25,0.002
target::prob_quality,0.008246082966592882,0.003806369408413286,0.012538697146177231,True,0.0009625318188308354,0.015026542664521638,True,25,0.002
target::brier,0.004659297794811346,-0.0017812641614977573,0.010919919068829994,False,-0.00615474173463514,0.013631451438169944,False,25,0.002
drop_feature::entity_value_colocation,0.0008085704564651741,-0.0014323464981912711,0.0032070763885183127,False,-0.00284043284733317,0.00491349468533821,False,25,0.002
drop_feature::entity_coverage,0.000527176302957355,-0.0017727338862345992,0.0029303401718234357,False,-0.0031534224952161826,0.0042936135918441665,False,25,0.002
drop_feature::conflicting_value_rate,0.00010184152906959066,-0.0006593056915731454,0.0009041113386629428,False,-0.0010248297691560996,0.0013595639359672651,False,25,0.002
drop_feature::year_count,-0.0010352931991214676,-0.0023564837367855357,0.0002867423907392552,False,-0.00302411961166754,0.0009405445243152313,False,25,0.002
no_stage2,-0.003528363114613231,-0.004919840912156035,-0.0021413870522971044,True,-0.005808813723034326,-0.0013304245346180237,True,25,0.002
