corpus,system,seeds_used,test_rows,test_groups,auroc,auroc_sd,bacc,mcc,ece,brier,ms,p95_ms,aurc
cogensumm,OURS,10,400,100,0.6898291812354314,0.03987678171380151,0.6216200466200467,0.24401494670327092,0.2502247643562371,0.22669444530295135,99.25367004764848,196.9064617929615,0.27078034714038235
cogensumm,no_verifier,10,400,100,0.5650823135198135,0.020948510934600297,0.5392482517482518,0.07662649946832652,0.3053781947770647,0.2660183390649434,24.547617877226003,55.51494542637736,0.46437039795254204
cogensumm,fixed::factcc,10,400,100,0.6458934294871794,0.0688192797233581,0.5932837995337996,0.17600669682879705,0.24625220203224257,0.229507428370526,31.57910665743111,60.56191722577203,0.3203494404816374
cogensumm,fixed::factkb,10,400,100,0.6676537004662004,0.017964750693358834,0.6016754079254079,0.2156904295025004,0.27303128970387036,0.23521451546439942,32.37605299338975,62.944712170978164,0.30263950712628807
cogensumm,fixed::hhem,10,400,100,0.5,0.0,0.5,0.0,0.5217891233189936,0.4776464837735679,219.66022293693823,454.67156308753283,0.589035491802916
cogensumm,fixed::wecheck,10,400,100,0.7659946824009325,0.00911428787807435,0.6777972027972028,0.3897122621871225,0.25653289097146953,0.20850804827360814,551.3121812777063,1123.2974994922076,0.1950403490828272
cogensumm,fixed::factcg,10,400,100,0.7924825174825175,0.015883427700357604,0.7297785547785548,0.3973962956183535,0.19271342369403036,0.1804301386097472,279.0244798091953,769.2608846694563,0.19248060188265495
cogensumm,fixed::minicheck_dbta,10,400,100,0.5987179487179486,0.026428876586028167,0.5552156177156177,0.11753613843625468,0.3035959734148531,0.2645318177990045,598.5342324552112,1573.1749849653788,0.44948258595644175
cogensumm,fixed::minicheck_ft5,10,400,100,0.7676518793706294,0.010968348566247108,0.7107954545454546,0.3853150549106019,0.28519628831925325,0.2285926137189788,337.8769822078866,789.4015330089277,0.3022021640140008
cogensumm,fixed::alignscore,10,400,100,0.7259487907925407,0.05499432863523897,0.6424533799533799,0.26278007706490825,0.2890060440249896,0.2435948440021453,534.6499088775126,1082.1587160719753,0.3347197378385822
cogensumm,fixed::lettuce_v2,10,400,100,0.5083861451048952,0.002833325663334347,0.508041958041958,0.04902581566706919,0.29772700445544253,0.2613733954767333,48.93107480905019,99.5180698882613,0.3002864128736733
cogensumm,fixed::granite_guardian_3_1_2b,10,400,100,0.7690468385780885,0.02826866828545711,0.6752913752913753,0.34224854610219435,0.24195115035114328,0.20604287180637906,115.51874408397998,216.75177052749487,0.2406006526221037
cogensumm,fixed::granite_guardian_3_2_3b_a800m,10,400,100,0.7030193764568765,0.012797318916396965,0.6307109557109557,0.2443809107388355,0.2926933928654414,0.2508422704942163,325.8307102890467,481.0550335663356,0.3171011958408052
cogensumm,fixed::granite_guardian_3_2_8b_factuality,10,400,100,0.7018957604895105,0.08164649128285413,0.563432400932401,0.1257679982211554,0.5617690646526884,0.48632247458521094,354.5349781376608,554.6405255067546,0.5943902847053271
cogensumm,fixed::granite_guardian_4_1_3b_factuality_lora,10,400,100,0.4961738782051282,0.012993075847691726,0.49884906759906755,-0.01040783280367911,0.6162097151491428,0.5665623728904375,333.42637820277014,476.792974480689,0.7431838318347218
cogensumm,fixed::qwen30_fast,10,400,100,0.7475160256410256,0.004964937122932723,0.7142773892773893,0.44553003074244096,0.29301419955500096,0.22571830005197682,182.39217578032185,285.0497683122266,0.28470167207744856
cogensumm,fixed::qwen30_judge,10,400,100,0.7792030885780885,0.015740097218050454,0.7395104895104895,0.4674706538822348,0.28658001401927713,0.21434924638419375,660.6079500651467,1302.166076179179,0.2736339073983296
frank,OURS,10,1569,350,0.8149529633671821,0.011676529270841366,0.7215920684255481,0.3537401553949544,0.04635889571671263,0.11597149253451824,112.15410048442186,214.15646978921944,0.1370631692979532
frank,no_verifier,10,1569,350,0.780540743333017,0.010705784151201492,0.7272105141406472,0.34768448359846427,0.05197802224744642,0.12240986624888558,12.015866844211576,28.336795431714727,0.11395835971101798
