candidates,corpus,seed,selected,val_auroc,test_auroc
all15,cogensumm,17,minicheck_ft5,0.7702254641909815,0.7858755827505828
all15,cogensumm,29,factcg,0.7563720622310494,0.7857116841491842
all15,cogensumm,43,wecheck,0.7457795431976166,0.7596882284382286
all15,cogensumm,7,granite_guardian_3_1_2b,0.7071074380165289,0.7935788170163169
all15,cogensumm,11,wecheck,0.684,0.7599978146853147
all15,cogensumm,23,factcg,0.6111665004985045,0.7684112762237763
all15,cogensumm,31,minicheck_ft5,0.6809999999999999,0.7684294871794872
all15,cogensumm,37,wecheck,0.6918238993710693,0.7786276223776224
all15,cogensumm,53,wecheck,0.7663025488248925,0.7722902097902098
all15,cogensumm,61,qwen30_judge,0.683531746031746,0.785693473193473
all15,frank,17,factkb,0.8880070546737213,0.8773770404289647
all15,frank,29,granite_guardian_3_1_2b,0.8756404285048905,0.836178466356648
all15,frank,43,factkb,0.8935828877005347,0.8686058650469775
all15,frank,7,granite_guardian_3_1_2b,0.8975535168195719,0.8352768814653128
all15,frank,11,factcg,0.877927927927928,0.833421811236595
all15,frank,23,factkb,0.919811320754717,0.8784610183164088
all15,frank,31,minicheck_ft5,0.888695652173913,0.7649413969820632
all15,frank,37,granite_guardian_4_1_3b_factuality_lora,0.8466076696165192,0.8273924622757901
all15,frank,53,factkb,0.8440026954177897,0.8644345520546646
all15,frank,61,alignscore,0.8448724622592401,0.8001847655879283
all15,ragtruth,17,factcg,0.7562594071068648,0.7798983940166976
all15,ragtruth,29,factcg,0.8112396834850677,0.7734991013450834
all15,ragtruth,43,factcg,0.7665730943640682,0.7800868216604823
all15,ragtruth,7,factcg,0.7579167246901546,0.7799563717532467
all15,ragtruth,11,factcg,0.749983304617275,0.7808731447124304
all15,ragtruth,23,factcg,0.7500270095073465,0.7778293135435993
all15,ragtruth,31,factcg,0.7847477965821161,0.7815616303339518
all15,ragtruth,37,factcg,0.7798634114423589,0.7803549686920221
all15,ragtruth,53,factcg,0.803189290809456,0.7828625057977737
all15,ragtruth,61,alignscore,0.7200632998486308,0.8011834705473099
all15,unisumeval,17,qwen30_fast,0.7877842755035738,0.6787340083195982
all15,unisumeval,29,qwen30_judge,0.7375151515151516,0.7252962875755435
