kind,size,n_subsets,best_subset,best_auroc,best_ms,mean_auroc,worst_auroc
feat,0,1,(empty),0.7958342949148508,159.1372143733263,0.7958342949148508,0.7958342949148508
feat,1,6,conflicting_value_rate,0.7958694285201443,157.08280551192735,0.7880623912360408,0.7685619868934047
feat,2,15,structured_source_line_ratio|bm25_mean3,0.8128014151418184,112.74068636143622,0.7938519686236748,0.7638510794398372
feat,3,20,structured_source_line_ratio|bm25_mean3|entity_value_colocation,0.8211608786156901,106.59384049913379,0.8000732839931983,0.7840715791713598
feat,4,15,structured_source_line_ratio|bm25_mean3|entity_coverage|entity_value_colocation,0.8231676083467955,105.24819401837269,0.8063921538009929,0.7892651335708487
feat,5,6,structured_source_line_ratio|bm25_mean3|entity_coverage|entity_value_colocation|conflicting_value_rate,0.823591393108685,106.68412967742077,0.8149654774693956,0.7923035015345119
feat,6,1,structured_source_line_ratio|bm25_mean3|entity_coverage|entity_value_colocation|year_count|conflicting_value_rate,0.8225560999095635,106.14862019516401,0.8225560999095635,0.8225560999095635
pool,0,1,(empty),0.7966170318380119,27.303564195454243,0.7966170318380119,0.7966170318380119
pool,1,3,granite_guardian_3_1_2b,0.7958342949148508,159.11621552641617,0.6554132478696265,0.5708926499961919
pool,2,3,lettuce_v2+granite_guardian_3_1_2b,0.804159466765255,143.49827851732792,0.7541556778470371,0.6583035482262314
pool,3,1,factcc+lettuce_v2+granite_guardian_3_1_2b,0.8225560999095635,106.14686534263254,0.8225560999095635,0.8225560999095635
