arm,auroc,auroc_sd,d_auroc_vs_reference,mean_calls,ms,d_ms_vs_reference,ece,brier,aurc,bacc,mcc,p95_ms,n,auprc_unsup,acc,f1_macro,f1_unsup,prec_unsup,rec_unsup,mce,p50_ms,p99_ms,qps,selerr@0.5,selerr@0.6,selerr@0.7,selerr@0.8,selerr@0.9,selerr@1.0,ms_deterministic
second::discounted_margin,0.797568288403488,0.0033916549729564854,0.004267923732588219,1.151268796992481,140.2874728428294,27.739053831701796,0.023715662171504177,0.17219442124283396,0.1457174305441113,0.7204090143849928,0.4620289481752689,426.010897599631,8512.0,0.7860485259571679,0.7393209586466165,0.7238895157285181,0.6589310380035234,0.7491915578458757,0.5893190554640307,0.11977343798658265,78.54665994961597,1309.1799632299294,7.135841288690303,0.15523966165413533,0.16481300176228708,0.17573011077542802,0.2040675477239354,0.23349432189009267,0.26067904135338343,115.9307494181562
second::raw_margin,0.7949462465621818,0.0026265081053741526,0.0016458818912820083,1.1918115601503758,143.41775369221446,30.869334681086855,0.025733167513900163,0.17465422955740934,0.1481638284290216,0.7136128918041513,0.4456199896299465,398.4117639531876,8512.0,0.7812516420676511,0.7314849624060151,0.7165322068302119,0.6520460681364149,0.7326459822912139,0.5897309170785283,0.10219258429692239,97.10246395624019,1211.0397533685089,6.9806060125217115,0.1537124060150376,0.16330526728020364,0.18340046995636122,0.21289280469897207,0.24043858504111734,0.268515037593985,119.0607429162728
reference,0.7933003646708998,0.0017336722302635004,0.0,1.0,112.5484190111276,0.0,0.021613434064069317,0.17262456164577752,0.14904672967725738,0.7195056138344909,0.4588752064804481,313.00408317288156,8512.0,0.7838260930145542,0.7379346804511279,0.7228890863645592,0.6586226744423391,0.7443772154934339,0.5917627677100494,0.16355177912543267,60.18837354711995,1014.4611821933482,8.88630391593615,0.15977443609022557,0.1679655374975524,0.17680429674387382,0.20378854625550663,0.23374233128834354,0.26206531954887213,88.18900778163763
second::verifier_confidence,0.7917162366504404,0.0025440149859561824,-0.0015841280204593744,1.0683153195488724,125.23393992492443,12.685520913796822,0.023038164087633227,0.1728158464609101,0.15045223605161318,0.7219391775397005,0.4628657213481161,337.26442081930173,8512.0,0.7835369584031944,0.7400023496240602,0.7255174323977206,0.6625450014248017,0.7451584369549474,0.5967325645249862,0.1724657584114257,66.930633397236,1221.3546253431525,7.990131598570995,0.16210056390977443,0.16988447229293124,0.1782141658274589,0.20233480176211455,0.23218900926771963,0.25999765037593986,100.8771770944582
learner::extra_trees,0.7865793751205138,0.0012275341503290105,-0.006720989550386025,1.0,107.87752378529316,-4.6708952258344425,0.02104206437842051,0.17421582421784892,0.1520249805839688,0.7075394580904731,0.4651567905399959,295.46973371569777,8512.0,0.7801760816615082,0.7367833646616541,0.7095980577735851,0.6210183963328172,0.810696249762678,0.5048325096101044,0.18217218296509405,60.29690671009142,878.8894936838566,9.269866480496448,0.162312030075188,0.1705698061484237,0.17920443101711986,0.20964757709251103,0.23827176608797807,0.26321663533834594,83.52068696656482
learner::gbr,0.7828014426714567,0.0025107527479814344,-0.010498921999443134,1.0,112.22799880670125,-0.3204202044263553,0.022707360400850148,0.17716395681130312,0.15649410941106554,0.7025218334579348,0.44273819420155347,316.43911972275293,8512.0,0.7729092974698987,0.728688909774436,0.7049000024165023,0.6213896336092871,0.7723492668466002,0.5211422295442064,0.14086382278577284,60.80183937371481,964.9615408560269,8.91651711982254,0.16470864661654136,0.1731544938319953,0.185918093319906,0.21773861967694566,0.24614280120088763,0.27131109022556393,88.33054420103774
learner::hgb,0.7697505065813287,0.0025651642484101488,-0.023549858089571107,1.0,116.09922243638562,3.5508034252580103,0.024161523471347295,0.18242748668688627,0.16487842053852164,0.6872994451003409,0.4326828238121089,322.18828356242267,8512.0,0.758885399677444,0.7201950187969924,0.6863013498753024,0.5835661816462876,0.8066851210284461,0.4592806150466776,0.13852074298680647,63.66889792693415,996.9591146182387,8.616455199316054,0.1726033834586466,0.18222048169179558,0.20287009063444109,0.23142437591776796,0.25721185223861115,0.27980498120300756,92.19508886987869
learner::tree,0.769749074509459,0.003006991479175232,-0.023551290161440863,1.0,117.55598159382461,5.007562582697005,0.024507072544720725,0.18270078024600236,0.16745059291586287,0.6910819866783487,0.42701079466012654,324.0137023416711,8512.0,0.7574629180110763,0.7203125,0.6918800542389423,0.5986120561738254,0.7770176552120438,0.4884678747940693,0.1286728892810087,62.84017394216487,1091.380472472346,8.508953929505804,0.1765742481203007,0.18507930291756414,0.19944612286002017,0.23064610866372984,0.2575381803942044,0.2796875,93.66271761555632
learner::mlp,0.7643832167942562,0.0048820880523553056,-0.028917147876643567,1.0,131.5073113006,18.958892289472402,0.021701637063650227,0.18463011595706103,0.1695411078568879,0.6911586081614566,0.4364437734408343,348.3371866994195,8512.0,0.7557496525315636,0.7230145676691728,0.6911074990739831,0.5919941863765008,0.8011707968872661,0.4703459637561779,0.1314455311900499,85.7364445939352,1114.8973121639306,7.654150913170348,0.1832706766917293,0.19406696690816524,0.2079724739845586,0.23168869309838472,0.2552147239263804,0.2769854323308271,107.6128671837147
learner::ridge,0.7373394782747931,0.0037026112250174233,-0.055960886396106746,1.0,166.39112101757556,53.84270200644795,0.023440293024871134,0.19079396071150762,0.18978384015516442,0.6922770562917007,0.4367925695587328,344.59959077360134,8512.0,0.7360873420660333,0.7236724624060151,0.6926615554491146,0.5950606616863784,0.7977100652622222,0.4746567819879187,0.13863121906264184,130.3342706056897,1114.071718335508,6.025501514146919,0.21360432330827067,0.22386919913843745,0.23549848942598187,0.2483847283406755,0.2593786711917504,0.27632753759398493,142.49753282329587
