system,d_auroc,ci95_lo,ci95_hi,sig95,bonf_lo,bonf_hi,sig_bonf,n_comparisons
granite_guardian_4_1_3b_factuality_lora,0.34768929569368395,0.3201126461882849,0.3750352460632251,True,0.3046130050458014,0.387196739292354,True,15
factcc,0.2516634499133716,0.22475538756918417,0.27982455509626447,True,0.20946072230625679,0.2910916744832145,True,15
lettuce_v2,0.22304330121172677,0.20384570348045858,0.24282422250794145,True,0.19366735677740798,0.25086411959678995,True,15
granite_guardian_3_2_8b_factuality,0.18869606867203775,0.16244006815182357,0.21482143245017885,True,0.14945301354560397,0.22981555654338692,True,15
hhem,0.1573428086906302,0.13953460806713022,0.17634131480160897,True,0.1293618606770874,0.18514235046317373,True,15
minicheck_dbta,0.1451519643244646,0.12017982400944409,0.1705752127620822,True,0.11218803866021458,0.1805103110258031,True,15
minicheck_ft5,0.08348249806822582,0.061444271975367476,0.10619188668803943,True,0.04971660954346178,0.11627487731766849,True,15
granite_guardian_3_2_3b_a800m,0.06754234690187047,0.04719658003546767,0.08829090784236261,True,0.03789584777241646,0.09705959808245228,True,15
factkb,0.05973210434604227,0.04187470934002802,0.07877632656917156,True,0.032219869152899254,0.08821928410979726,True,15
wecheck,0.05343270249758597,0.033737987543524486,0.07382242694180653,True,0.022124342875662083,0.08299336432266377,True,15
factcg,0.042577298715633274,0.020842561368261917,0.0637820367250891,True,0.010121989269442147,0.07717450004641381,True,15
granite_guardian_3_1_2b,0.026721804994712772,0.010434889897133136,0.043382191776325206,True,0.0027701475454959784,0.05325443155970361,True,15
alignscore,0.010886250934312813,-0.006264423887167836,0.02890177815170938,False,-0.014021153214189093,0.037025671226316996,False,15
qwen30_judge,0.007553648594292228,-0.010233021364289208,0.026125900606992124,False,-0.017797890338715153,0.033606137964739304,False,15
qwen30_fast,-0.011283111413714252,-0.028290090900468235,0.00622310585274964,False,-0.03416127148057679,0.011278516904982692,False,15
