corpus,k,n_seeds,auroc,auroc_sd,base_rows,pool_rows,eval_rows
cogensumm,0,10,0.6515697843822845,0.05999741626060576,4741,0,400
cogensumm,1,10,0.6559476981351982,0.0577063666995847,4741,535,400
cogensumm,2,10,0.6526733682983683,0.0782333785810022,4741,535,400
cogensumm,4,10,0.6362143065268066,0.0464054779378426,4741,535,400
cogensumm,8,10,0.6433475378787878,0.0408743432369734,4741,535,400
cogensumm,16,10,0.6600925116550116,0.0530842561839997,4741,535,400
cogensumm,32,10,0.6240548513986014,0.0288445206197962,4741,535,400
cogensumm,64,10,0.6428503787878787,0.0371811649829158,4741,535,400
cogensumm,128,10,0.6662441724941726,0.028549962698127,4741,535,400
cogensumm,256,10,0.6764386655011656,0.0562860153627995,4741,535,400
cogensumm,512,10,0.7147654428904429,0.0467204117004581,4741,535,400
cogensumm,535,10,0.6798295454545454,0.0252117785185329,4741,535,400
frank,0,10,0.8332821248932334,0.008875562757617422,4607,0,1569
frank,1,10,0.8332914669735219,0.0088819996336145,4607,669,1569
frank,2,10,0.833795049587169,0.0076763245808947,4607,669,1569
frank,4,10,0.8230756797475565,0.0335651137330302,4607,669,1569
frank,8,10,0.832664954446237,0.0075161250510201,4607,669,1569
frank,16,10,0.8375898619151562,0.0042588980299012,4607,669,1569
frank,32,10,0.8353059457150991,0.0044507176643265,4607,669,1569
frank,64,10,0.8251605948087691,0.0314392903822316,4607,669,1569
frank,128,10,0.8318753262313752,0.018175414757491,4607,669,1569
frank,256,10,0.8336761234222264,0.0120938402070058,4607,669,1569
frank,512,10,0.8183282718041189,0.0215773642299123,4607,669,1569
frank,669,10,0.8251998908607764,0.0081992384135249,4607,669,1569
ragtruth,0,10,0.5430053484461967,0.04287965187558371,2293,0,900
ragtruth,1,10,0.5431647872217069,0.0430819334742533,2293,2983,900
ragtruth,2,10,0.5318170947356216,0.0403299632213317,2293,2983,900
ragtruth,4,10,0.5670914743738404,0.044674711428475,2293,2983,900
ragtruth,8,10,0.5638570413961039,0.0372847951396801,2293,2983,900
ragtruth,16,10,0.5589456023886827,0.0332211514424803,2293,2983,900
ragtruth,32,10,0.5758174860853431,0.0447886427574437,2293,2983,900
ragtruth,64,10,0.5705889813311689,0.0467824487435224,2293,2983,900
ragtruth,128,10,0.6139063224721707,0.0159828638295125,2293,2983,900
ragtruth,256,10,0.6015353229359925,0.0217626695864963,2293,2983,900
ragtruth,512,10,0.6287743506493506,0.0156247399249299,2293,2983,900
ragtruth,2983,10,0.637962010088126,0.0015177258003966,2293,2983,900
unisumeval,0,10,0.536941762812966,0.026068830323104884,4187,0,367
unisumeval,1,10,0.5369496114904637,0.0258745621110335,4187,1089,367
unisumeval,2,10,0.5353975355152656,0.0258955023774702,4187,1089,367
unisumeval,4,10,0.5381504591476336,0.0249480743306226,4187,1089,367
unisumeval,8,10,0.5368907464092301,0.0305584650631467,4187,1089,367
unisumeval,16,10,0.543236402166235,0.0299058923138388,4187,1089,367
unisumeval,32,10,0.5410740915155796,0.0297299704273792,4187,1089,367
unisumeval,64,10,0.5562122282395416,0.0254758399581806,4187,1089,367
unisumeval,128,10,0.570396750647516,0.0307247794435117,4187,1089,367
unisumeval,256,10,0.568138293697512,0.0201687422290734,4187,1089,367
unisumeval,512,10,0.5912565732674044,0.026646025741938,4187,1089,367
unisumeval,1089,10,0.5923082960521152,0.0143503474183903,4187,1089,367
