corpus,frac,k,n_seeds,auroc,auroc_sd,base_rows,pool_rows,eval_rows
cogensumm,0.0,0,10,0.6515697843822845,0.05999741626060576,4741,535,400
cogensumm,0.05,27,10,0.6122978583916084,0.02266102758497809,4741,535,400
cogensumm,0.1,54,10,0.645272435897436,0.034528386766550595,4741,535,400
cogensumm,0.2,107,10,0.6642609994172494,0.03339890811517957,4741,535,400
cogensumm,0.3,160,10,0.6837011946386946,0.02568354194568055,4741,535,400
cogensumm,0.4,214,10,0.6876201923076922,0.023916203735796344,4741,535,400
cogensumm,0.5,268,10,0.6476708187645688,0.047009542129700196,4741,535,400
cogensumm,0.7,374,10,0.6674497377622377,0.054769257805277465,4741,535,400
cogensumm,0.85,455,10,0.6864219114219114,0.05393397841674192,4741,535,400
cogensumm,1.0,535,10,0.6798295454545454,0.025211778518532967,4741,535,400
frank,0.0,0,10,0.8332821248932334,0.008875562757617422,4607,669,1569
frank,0.05,33,10,0.8357800192179937,0.00571989114564249,4607,669,1569
frank,0.1,67,10,0.7906889116921325,0.09450193921838862,4607,669,1569
frank,0.2,134,10,0.8391931408370505,0.0030689235297311794,4607,669,1569
frank,0.3,201,10,0.8193597560975612,0.024989988305180486,4607,669,1569
frank,0.4,268,10,0.8310748730663378,0.015236963871246552,4607,669,1569
frank,0.5,334,10,0.8284997212204613,0.014412179424777783,4607,669,1569
frank,0.7,468,10,0.8246691717281959,0.014262433215649977,4607,669,1569
frank,0.85,569,10,0.8268420209737115,0.010255671553495783,4607,669,1569
frank,1.0,669,10,0.8251998908607764,0.008199238413524915,4607,669,1569
ragtruth,0.0,0,10,0.5430053484461967,0.04287965187558371,2293,2983,900
ragtruth,0.05,149,10,0.5979374420222634,0.026585524355158676,2293,2983,900
ragtruth,0.1,298,10,0.6130862998608535,0.011991188924810419,2293,2983,900
ragtruth,0.2,597,10,0.6334064094387756,0.021041531175696744,2293,2983,900
ragtruth,0.3,895,10,0.6396125637755101,0.015288659390224736,2293,2983,900
ragtruth,0.4,1193,10,0.6381142016465677,0.008951370531518102,2293,2983,900
ragtruth,0.5,1492,10,0.6357664656771799,0.0035278801357641375,2293,2983,900
ragtruth,0.7,2088,10,0.637810180890538,0.0012571695038460567,2293,2983,900
ragtruth,0.85,2536,10,0.6377478548237477,0.0015530094582732266,2293,2983,900
ragtruth,1.0,2983,10,0.637962010088126,0.001517725800396697,2293,2983,900
unisumeval,0.0,0,10,0.536941762812966,0.026068830323104884,4187,1089,367
unisumeval,0.05,54,10,0.5427007299270072,0.031349866676545456,4187,1089,367
unisumeval,0.1,109,10,0.5654658190094969,0.03602340464808331,4187,1089,367
unisumeval,0.2,218,10,0.5570696962561809,0.01557806848827062,4187,1089,367
unisumeval,0.3,327,10,0.5659583235224865,0.013835050885366792,4187,1089,367
unisumeval,0.4,436,10,0.560578055097716,0.017114763078090837,4187,1089,367
unisumeval,0.5,544,10,0.5688682207048111,0.01954956683085509,4187,1089,367
unisumeval,0.7,762,10,0.5832489600502315,0.024357993240967574,4187,1089,367
unisumeval,0.85,926,10,0.5823169295973629,0.02453292420072372,4187,1089,367
unisumeval,1.0,1089,10,0.5923082960521152,0.014350347418390301,4187,1089,367
