system,auroc,auroc_sd,bacc,mcc,f1_unsup,rec_unsup,ece,brier,ms,p95_ms,mean_calls,macro_auroc,macro_auroc_sample_weighted,worst_corpus_auroc,n,auprc_unsup,acc,f1_macro,prec_unsup,mce,p50_ms,p99_ms,qps,selerr@0.5,selerr@0.6,selerr@0.7,selerr@0.8,selerr@0.9,selerr@1.0,aurc,auroc__cogensumm_test,auroc__frank_test,auroc__ragtruth_test,auroc__unisumeval_dev
fixed::qwen30_fast,0.8344935077460415,8.064753240873682e-06,0.7710867268071323,0.5624346491136898,0.7365697335616619,0.6328004736530491,0.0789605602396733,0.1692411249509877,211.64676892352676,284.5136730466038,1.0,0.7360612728654262,0.758931810938136,0.663858853200371,3236.0,0.8642677493588359,0.765018541409147,0.7618539095575539,0.888330670905354,0.3465958274774857,201.1055095354095,402.6056148039064,4.724853609087342,0.1878244746600741,0.1678681771369722,0.1584988962472406,0.1845886442641947,0.220260989010989,0.2349814585908529,0.1690302918332234,0.758499053030303,0.8290334060928158,0.663858853200371,0.6928537791382152
OURS,0.816645119586296,0.0038638772653104,0.7326131135607679,0.4857972031771193,0.7177811774336194,0.6760213143872112,0.0377285940381189,0.1713709863896372,85.44474525397803,192.969666011777,1.0,0.6833800147411939,0.7246522857991177,0.6081940193077466,3236.0,0.8308376973874507,0.7301297898640298,0.7247150337823964,0.8042946041558995,0.4048273169142892,48.664579804608366,533.0492915093064,11.713972503282005,0.1495055624227441,0.1565911431513903,0.1827814569536424,0.2188876013904982,0.2341002747252747,0.2698702101359703,0.1456767716935715,0.673590472027972,0.815798792350764,0.6359367752782931,0.6081940193077466
fixed::qwen30_judge,0.8156027269495036,0.0,0.759182692068493,0.5599343304664911,0.6998551138671281,0.5576672587329782,0.0985369386950625,0.1770704719452658,600.866068048303,1354.6109027447528,1.0,0.7679678829309436,0.7854211893921614,0.7252962875755437,3236.0,0.8133653715053601,0.7503399258343633,0.7430709427573621,0.9393642073778664,0.3921640470485929,470.6444449984701,1426.4013190375408,1.664264389646997,0.2391841779975277,0.2327497425334707,0.2185430463576159,0.2070297412128234,0.2438186813186814,0.2496600741656366,0.2028235835407979,0.7859484265734267,0.8318321747176615,0.728794642857143,0.7252962875755437
fixed::alignscore,0.814600194497802,0.0,0.7329587279644746,0.468297517311019,0.7331843394295002,0.7072232089994079,0.0482572274187589,0.1718965572493457,561.6505837401235,1747.544027013646,1.0,0.7537404826073111,0.7872575279327818,0.6200455223294875,3236.0,0.8599476272551083,0.7318294190358468,0.7310559891597685,0.7657162531688563,0.1740992791826824,263.1936669931747,5274.192069294816,1.7804664126596923,0.142027194066749,0.1691555097837281,0.19121412803532,0.2187717265353418,0.246565934065934,0.2681705809641533,0.134242217951843,0.7692307692307693,0.8209256666983012,0.8047599721706865,0.6200455223294875
fixed::granite_guardian_3_1_2b,0.7993209033852644,0.0,0.7267938518487052,0.4830081021021699,0.672946090983362,0.5598579040852576,0.0614112149075823,0.1827796942561519,131.81202981387514,205.0039127061609,1.0,0.737991390979224,0.7610754842328183,0.627637987012987,3236.0,0.8462061575160169,0.7194684796044499,0.7126117929839503,0.8623920066538769,0.2205561279887901,117.4448739620857,278.04192805197096,7.586560964215844,0.1764524103831891,0.2015962924819773,0.2222958057395143,0.2390498261877172,0.2585851648351648,0.28053152039555,0.1584797303774458,0.7996066433566434,0.8473800654835342,0.627637987012987,0.6773408680637314
fixed::factcg,0.7816679889608527,1.1102230246251563e-16,0.7369196592423005,0.5078780839339054,0.6780224105091237,0.5497927767910007,0.0996268155913275,0.1871705086571826,427.50411280639327,1073.469708513585,1.0,0.7753395751984485,0.8040674498878503,0.6426889569107604,3236.0,0.8447194805928836,0.7287082818294192,0.7215371708668904,0.8914151135635937,0.1833370670244404,130.57675954769363,7859.256184782203,2.339158782439309,0.2063040791100123,0.2128218331616889,0.2139514348785872,0.2247585940517574,0.2439903846153846,0.2712917181705809,0.1787045299310197,0.8256847319347319,0.8462412214102685,0.7867433905380333,0.6426889569107604
fixed::wecheck,0.7707252869722832,1.1102230246251563e-16,0.7042256771543156,0.443670597227613,0.6368896182945769,0.5206039076376554,0.0984988840439325,0.1957065396716949,496.0128569907809,1436.4072202515672,1.0,0.7466934448868539,0.7756598764011549,0.6562671689820265,3236.0,0.8280724305216168,0.696168108776267,0.6863248953863221,0.8523767543867227,0.1889891892078669,190.29155955649912,4536.647620210717,2.01607677282161,0.2090852904820766,0.2251287332646755,0.2464459161147902,0.2639242950946311,0.2839629120879121,0.303831891223733,0.1802004608022293,0.7817963286713285,0.840997793489608,0.7077124884044528,0.6562671689820265
fixed::factkb,0.7685826345840974,0.0,0.7149236303347682,0.5068287548833569,0.6068572951703259,0.4410301953818828,0.1086622133171553,0.1993085210491246,37.01453778784254,94.8522554972442,1.0,0.6545513535747374,0.7249319988575957,0.4700180519582451,3236.0,0.8378995006234555,0.7029048207663782,0.6839271001044204,0.9795181861700012,0.2994599899020486,21.829081495525315,333.70445594919164,27.01641192257305,0.2755253399258343,0.2609680741503605,0.2496688741721854,0.2518733101583622,0.2778846153846153,0.2970951792336217,0.2800059125550467,0.7024147727272727,0.883740035114359,0.5620325544990725,0.4700180519582451
fixed::granite_guardian_3_2_3b_a800m,0.7627710846601246,1.0986102396515336e-06,0.6477912711744077,0.3700170465967858,0.4913832591632928,0.3403789224393131,0.1610392237259733,0.2249454456508729,263.8717550045584,456.21392599423416,1.0,0.6813021430504032,0.7240716544782618,0.5804489443528765,3236.0,0.7912647448287158,0.6343016069221261,0.6027904410112264,0.8939518588888291,0.2743924071533278,275.78903250105213,549.5486616651763,3.7897197446643167,0.2951174289245982,0.3053038105046344,0.3123178807947019,0.3231363460795674,0.3392513736263736,0.365698393077874,0.2731914096885532,0.7132502913752914,0.8317079102211256,0.5998014262523191,0.5804489443528765
fixed::minicheck_ft5,0.7396393179487946,1.1102230246251563e-16,0.6962432110431275,0.4211591093453115,0.6296736200988997,0.5121373593842511,0.1288165753837243,0.2166862165185237,364.0287797662148,1681.599676994665,1.0,0.7247170235564068,0.7562104416016098,0.5848049603641786,3236.0,0.7849682221821295,0.6881644004944375,0.6796373358336234,0.8284914822767645,0.2539989594715604,160.11599299963564,4196.307440793316,2.74703555208524,0.3059950556242274,0.2963954685890834,0.2927593818984547,0.2890305137118578,0.2958447802197802,0.3118355995055624,0.3123906930214154,0.7773528554778554,0.8049225348770997,0.7317877435064936,0.5848049603641786
