system,auroc,auroc_sd,bacc,mcc,f1_unsup,rec_unsup,ece,brier,ms,p95_ms,mean_calls,macro_auroc,macro_auroc_sample_weighted,worst_corpus_auroc,n,auprc_unsup,acc,f1_macro,prec_unsup,mce,p50_ms,p99_ms,qps,selerr@0.5,selerr@0.6,selerr@0.7,selerr@0.8,selerr@0.9,selerr@1.0,aurc,auroc__cogensumm_test,auroc__cogensumm_val,auroc__frank_test,auroc__frank_valid,auroc__ragtruth_test,auroc__ragtruth_train,auroc__unisumeval_dev,auroc__unisumeval_train
OURS,0.7899055001708337,0.001170681389440596,0.7256879470291274,0.4578280506602076,0.6792359965436099,0.6548050521691379,0.024000326021185063,0.1741810161883402,87.8865191652918,237.27552604897932,1.0,0.6670732333470353,0.6957723504176984,0.5032546405009505,8512.0,0.7801436584382282,0.7359140037593985,0.7271585885454543,0.7085401917050324,0.15420925962467097,44.3606079032179,745.4584226368721,11.380953854215424,0.1623825187969925,0.170452320344625,0.1793219201074186,0.20922173274596179,0.23718835661140844,0.26408599624060153,0.15206545665337073,0.6625309586247087,0.5032546405009505,0.8250731054854323,0.8093342605315194,0.6409877232142858,0.7020120536416549,0.5795286869162546,0.6138644378614754
fixed::alignscore,0.785712030080275,0.00015555050500991088,0.6882883358310019,0.425567738452395,0.5907546430792266,0.4758374519494783,0.022907590005690755,0.17968565327959993,677.2938687092693,2195.9104532608762,1.0,0.7290518946758654,0.7446865912789081,0.6037557307391256,8512.0,0.774555653873212,0.718937969924812,0.6882252660091414,0.784340963253381,0.09525525073810351,376.3030314585194,5275.712494420584,1.4764639784879754,0.15610902255639098,0.18186802428039944,0.2054212823094998,0.23046989720998529,0.2584388461036419,0.28106203007518793,0.1504226034264425,0.7686115967365967,0.6037557307391256,0.8207453497200342,0.8233151245014912,0.8043852910482375,0.7404842430916051,0.6195118122596343,0.6516060093101989
OURS_current_pool,0.7721958792413853,0.0020263918066878318,0.6952937382375592,0.439942354361992,0.6019987021244523,0.4853102690829215,0.02114521476774919,0.18135667857121224,556.704870185199,2001.3314500214613,1.0,0.7284316177929062,0.7447262979443343,0.5844772780786438,8512.0,0.7646613891832196,0.7255874060150376,0.696269351157609,0.7939590334161917,0.12514361244324546,213.11659713537665,4991.642662726019,1.7966341206547274,0.1754934210526316,0.19592715880164482,0.2132594830480027,0.22911894273127756,0.2523169299047122,0.27441259398496237,0.15531024325254178,0.755565268065268,0.664779715978978,0.8238854749928823,0.812404068500955,0.7775300034786643,0.7373689928425359,0.5844772780786438,0.6714421404053228
fixed::qwen30_fast,0.7666353922467403,0.0015494932974344624,0.7211306094649801,0.5038812267476306,0.6357192392590184,0.5056287753981329,0.07203337796457984,0.1835951130172749,273.3456029523587,506.33135489770194,1.0,0.7068127857522171,0.6947329392190665,0.6086918539639943,8512.0,0.78226539972186,0.7522203947368422,0.7239670640228176,0.8571707359883188,0.333257992121752,226.94844257785007,1334.2953405890146,3.6583723652371654,0.209515977443609,0.21114157039357745,0.20154414232964077,0.20726872246696035,0.23831092546664925,0.24777960526315787,0.18265521667581955,0.7562208624708625,0.6086918539639943,0.8280948977412926,0.8199537518013338,0.655129217880334,0.6216793495359447,0.6823836433560945,0.6823487092678797
fixed::qwen30_judge,0.763183222319573,0.0017926310073989623,0.7190367343348816,0.5131863570808755,0.6261011290591638,0.4869851729818781,0.05129500594080013,0.1821337947782554,642.7399050988008,1394.5226827287115,1.0,0.7351113150884815,0.7246652932148128,0.650631080174438,8512.0,0.751648263732213,0.752514097744361,0.7203548740584808,0.8892349446183033,0.4323240270087486,502.4237179895863,1777.2880561917475,1.5558392937284355,0.18822838345864662,0.2010573722341884,0.20978516280631085,0.21494860499265783,0.23425140321106905,0.2474859022556391,0.1900688380200706,0.781042395104895,0.650631080174438,0.829544551342887,0.8155509568015014,0.7238234143089053,0.6654642246954364,0.7154952515501137,0.699338646729675
fixed::factcg,0.7592350509174844,0.00023814009705891458,0.6994769893113313,0.4615724553421616,0.6002781409508099,0.46946732564524984,0.050541761022509554,0.1847314888324936,429.9370665275078,1562.355828801807,1.0,0.7528750037436291,0.7656301389057715,0.6419629542422102,8512.0,0.7685856281142976,0.7326597744360902,0.6997043013228657,0.833245590748153,0.09598798648877892,143.46066251164302,4053.751703015587,2.325921810084311,0.1871005639097744,0.19461523399255923,0.21124538435716683,0.23054331864904554,0.2496410390288474,0.2673402255639098,0.17355437615409355,0.8253569347319347,0.683580733534608,0.8461647053240962,0.8250058648078019,0.7858121231447124,0.7696570818695051,0.6419629542422102,0.6454596322941647
fixed::granite_guardian_3_1_2b,0.7457959105891002,0.00024215974055951197,0.6751982855731727,0.41197632799498274,0.5599098061700507,0.4308072487644152,0.017530025353792236,0.19206941042049036,177.3417632202665,325.1806539599784,1.0,0.7151834451060362,0.6985022009056017,0.6053533489880353,8512.0,0.7412644898054612,0.7104558270676692,0.6720571646750917,0.8008917216353322,0.05241989675753904,140.9877899568528,912.4468692380466,5.6388296915597635,0.20420582706766915,0.2170158605835128,0.23157099697885197,0.25130690161527164,0.268411434538572,0.2895441729323308,0.18476373747486463,0.8011363636363636,0.6053533489880353,0.8487701077156686,0.8378749287844768,0.6251478432282005,0.6095532265394228,0.6780080056510479,0.7156237363050736
fixed::wecheck,0.7387180842486754,0.00017879586225985324,0.6616070778178834,0.4004081017571517,0.5240243608575621,0.3847336628226249,0.035292852453928804,0.19497800429993603,359.31564974465715,1296.0608599882103,1.0,0.7363412372313207,0.734935683626406,0.6554410956753787,8512.0,0.7351083648556486,0.7015507518796993,0.6532730780348859,0.8254124122074286,0.07984889971309646,142.4799885135144,3240.787115019907,2.7830683153117226,0.2066729323308271,0.22279224593694927,0.24018126888217525,0.26284875183553597,0.28390549536614024,0.2984492481203007,0.187008445860954,0.7813119172494172,0.6867591971374258,0.8406546573977414,0.809164181105265,0.707154452690167,0.6878413778337091,0.6554410956753787,0.7224030187614614
fixed::minicheck_ft5,0.7029554608734285,0.00015571119829604183,0.6600440672194238,0.3507774253025223,0.5620786315142751,0.46875343218012083,0.02893517396462366,0.20879745833043079,451.00861609830815,1750.7886601379141,1.0,0.7120385027744764,0.7136631442555504,0.5847264735892003,8512.0,0.6717387243616586,0.6876409774436091,0.6596298853954403,0.7026052772120011,0.11764672361244646,177.69095048424788,4330.6787794095,2.2172525408739108,0.25065789473684214,0.2569610338750734,0.26586102719033233,0.2837151248164464,0.2955749902101553,0.3123590225563909,0.2520592770445264,0.776999562937063,0.6361497819523649,0.8049637586599602,0.8189835450249674,0.730966633812616,0.6742959969762117,0.5847264735892003,0.6692222692434286
fixed::factkb,0.6777428714957934,0.0003383369267353018,0.6542728683271934,0.42645196141770353,0.4841330721418794,0.3274574409665019,0.0768101871074103,0.20781549784547187,44.46038095934489,150.5151769524673,1.0,0.6434748324533819,0.6415377586758498,0.47007495487010437,8512.0,0.7012465280768096,0.701421522556391,0.6370224841880754,0.9283306027458647,0.22829358972128544,23.040012500132434,385.33653363934553,22.491935031200295,0.25246710526315785,0.26422557274329356,0.27593152064451154,0.28419970631424374,0.2906800678762564,0.29857847744360905,0.21319812864392929,0.7002239947552449,0.5582564575645758,0.8825356481920851,0.8702226951305339,0.5604812876855287,0.5458007249226574,0.47007495487010437,0.5602028965063244
fixed::granite_guardian_3_2_3b_a800m,0.6671286677108388,0.0001738354910175632,0.6212975416851314,0.32430444819841947,0.4376583919504589,0.3027182866556837,0.06347044602506272,0.2181591881982333,243.91861031635307,465.3006297972752,1.0,0.6639561560758264,0.6547621158235394,0.5537263781728725,8512.0,0.653724590753799,0.6672579887218045,0.6006849154603853,0.7904598559102807,0.1326472759156979,199.9345930526033,785.930181649746,4.0997281786044875,0.28031015037593987,0.2900528686117094,0.30016784155756965,0.31516886930983845,0.3231301396684506,0.33274201127819547,0.2617627856874115,0.7121030011655012,0.5537263781728725,0.8318785885451268,0.8069531485639599,0.5995166106215213,0.558536439489277,0.5797621850718155,0.6691728969765365
fixed::granite_guardian_3_2_8b_factuality,0.6613928139310146,0.001292206333522627,0.6569401754795468,0.4308049609513743,0.49027265307763834,0.33314113124656786,0.09790178439658925,0.21092635101794777,1011.3224318095017,1649.8309830785724,1.0,0.7098533951393238,0.688890290446931,0.5970249077490776,8512.0,0.6899907108005545,0.7036536654135338,0.6406844192647528,0.9284366437031158,0.27220389458654987,1011.5195124526508,3125.1685866422476,0.9888043303961496,0.2668233082706767,0.27673781084785587,0.28113460892917086,0.2999412628487519,0.30387677848844796,0.29634633458646614,0.22849447316673266,0.7991659382284383,0.5970249077490776,0.8057649532599411,0.8145405342002079,0.725294237012987,0.6035976307832136,0.6784279098971823,0.6550110499835425
fixed::minicheck_dbta,0.6438048119870052,0.00024404576094664204,0.5754367931964183,0.21760660753963462,0.34220960218944774,0.23245469522240528,0.04508176211772955,0.22965800497904612,473.3311493573707,2046.777363188448,1.0,0.6209159238305055,0.6339766724846139,0.5201190875545119,8512.0,0.6105740311881569,0.6249177631578947,0.5393891845751899,0.7037972276362552,0.3261582440062802,157.10292803123593,4200.1131693876205,2.1126858043415777,0.2964755639097745,0.32351674172704137,0.34315206445115815,0.35681350954478713,0.3674977157029109,0.37508223684210523,0.308072627897239,0.6345134032634032,0.5201190875545119,0.7015469298661858,0.663083548376286,0.6827639436456401,0.6217280163599183,0.5463189702535123,0.5972534913245873
fixed::granite_guardian_4_1_3b_factuality_lora,0.623701522393883,0.00023944475856106485,0.5837139430802175,0.1687133137735642,0.5160056259734619,0.5052718286655684,0.023782794201603306,0.23369332774458282,448.8089244937499,657.2126658458728,1.0,0.6464037907815168,0.6785177261849991,0.4640687544148811,8512.0,0.5564750959664811,0.595030545112782,0.5837276223527368,0.528322453116439,0.7406817553362434,409.5110759953968,1449.3594427130301,2.228119686184908,0.3231203007518797,0.3422948893675347,0.35778784827123195,0.37651982378854626,0.3920767523821955,0.404969454887218,0.3309758744224961,0.5052229020979021,0.6428820026836632,0.8451419699629875,0.8156213344951239,0.5980251333487941,0.6511644534458951,0.4640687544148811,0.6491037758028871
fixed::hhem,0.6060694955160364,0.0004863143847223684,0.5860372936322417,0.2685021645578509,0.3349443823081426,0.21213618890719385,0.10466272376879723,0.23312842119444896,149.64093272946866,542.7787804728721,1.0,0.5977942811870232,0.6321462922435434,0.47498234047562987,8512.0,0.6098614437504398,0.6399788533834586,0.5440444053043202,0.7998158076006738,0.3017962337052624,53.90651151537895,1676.5088523863137,6.6826635049640455,0.352890037593985,0.3341883689054239,0.32403491104397447,0.3435389133627019,0.3533481268763869,0.36002114661654133,0.3406568942023621,0.48827214452214446,0.5597911774572292,0.8141237425263359,0.7688578705720701,0.4775807339981447,0.625517528795903,0.47498234047562987,0.5732287111487281
fixed::lettuce_v2,0.6046163964335772,0.0028937973628374667,0.6139031626236007,0.2901800699194782,0.4403986201609812,0.3154859967051071,0.01138144486470431,0.22469366016193693,73.67500418027853,233.08918928087218,1.0,0.5809326326901554,0.6237532246912834,0.49700793997668996,8512.0,0.544948891167806,0.6569548872180452,0.5965333775038346,0.7290609137055838,0.213393548573633,36.65406152140349,722.3587011254855,13.573124441948547,0.3383458646616541,0.3385353436459761,0.3464585431352803,0.3504992657856094,0.3459339511813079,0.34304511278195493,0.333030122497343,0.49700793997668996,0.5123560326512356,0.6348315756382272,0.6535976406716043,0.6243303571428571,0.6992783545697654,0.5014637783533475,0.5245953825175154
