system,auroc,auroc_sd,auprc_unsup,acc,bacc,mcc,f1_macro,f1_unsup,prec_unsup,rec_unsup,ece,mce,brier,aurc,ms,p50_ms,p95_ms,p99_ms,qps,ms_part1_basis,p95_ms_part1_basis,mean_calls,macro_auroc,macro_auroc_sample_weighted,worst_corpus_auroc,n,selerr@0.5,selerr@0.6,selerr@0.7,selerr@0.8,selerr@0.9,selerr@1.0,auroc__cogensumm_test,auroc__frank_test,auroc__ragtruth_test,auroc__unisumeval_dev
fixed::qwen30_fast,0.8338392113232777,0.0006574278810157734,0.8529918114886537,0.7668108776266995,0.7725075328669518,0.5631066753785771,0.7640339477298121,0.7409833665970177,0.8823532051621683,0.6426879810538779,0.025056996077055062,0.2936849244646733,0.15688457976374826,0.12914336344215735,211.64681484988654,201.1055554617693,284.5137189729636,402.6056607302662,4.7248525838164115,211.64676892352674,284.5136730466038,1.0,0.7350383269337077,0.7568986610634234,0.659495666164193,3236.0,0.17045735475896168,0.16488156539649845,0.16088300220750554,0.17485515643105445,0.21006181318681322,0.2331891223733004,0.7554104749417249,0.8268286751447281,0.659495666164193,0.6984184914841849
OURS,0.8225560999095635,0.004736921283365409,0.8352164160298908,0.7364647713226204,0.7415322461817081,0.5061348781191277,0.7314646522040189,0.7088808804139185,0.8463158394195794,0.6260509177027828,0.03882592944797744,0.45964126660712923,0.16854769793906116,0.1403927106590189,106.14368718536755,69.25253879776082,225.15836184352028,757.6278737745713,9.423011600448756,86.48530879464084,196.0486895241047,1.0,0.684652825675625,0.7291740873563494,0.5906973549956833,3236.0,0.1433868974042027,0.14752832131822863,0.1759823399558499,0.21151023561220547,0.23389423076923074,0.26353522867737944,0.6848794434731935,0.8253192618866849,0.6377152423469388,0.5906973549956833
fixed::qwen30_judge,0.8150024513152714,0.001575681538139689,0.8123667861762118,0.7503399258343633,0.759182692068493,0.5599343304664911,0.7430709427573621,0.6998551138671281,0.9393642073778663,0.5576672587329782,0.05597169708571963,0.2688418156451561,0.16377298846455962,0.14312090828734306,600.8661074342115,470.6444843843786,1354.6109421306614,1426.4013584234494,1.6642642805568617,600.866068048303,1354.6109027447528,1.0,0.7675465222353637,0.7849282321166435,0.7251707087355782,3236.0,0.2082818294190359,0.22873326467559219,0.21611479028697572,0.20355349555813057,0.20813873626373627,0.2496600741656366,0.7862452651515153,0.8318369199013003,0.7269331951530612,0.7251707087355782
fixed::alignscore,0.8116698489752506,0.0010844216339564463,0.838013354381663,0.7295117428924598,0.730578158302534,0.4660826297050324,0.7280317831725818,0.7300779079190122,0.7663658855814217,0.706275902901125,0.04345311441247235,0.47131472620710235,0.17279405386826835,0.13772408657348983,561.6506348204088,263.19371807346,1747.5440780939311,5274.1921203751,1.7804662507321054,561.6505837401235,1747.544027013646,1.0,0.7493992753977986,0.7826432485628987,0.6183855270386939,3236.0,0.15234857849196537,0.18439752832131823,0.20313465783664458,0.21981460023174967,0.23760302197802194,0.27048825710754015,0.7651660839160839,0.8176064107430958,0.796439079893321,0.6183855270386939
fixed::granite_guardian_3_1_2b,0.7958342949148508,0.0031639463591532943,0.8194400100075262,0.7215080346106304,0.7286607169169075,0.4851480483515324,0.7151828242646956,0.6771754313861963,0.8603554223242419,0.565660153937241,0.05570204038344576,0.41734477727522223,0.18276399562101292,0.17089765092762355,131.81207973322023,117.44492388143075,205.00396262550603,278.04197797131604,7.586558091063738,131.81202981387514,205.00391270616092,1.0,0.7319813248562393,0.7560545480262965,0.6216467126623377,3236.0,0.1891841779975278,0.2030895983522142,0.21682119205298012,0.2455774430281962,0.25841346153846156,0.27849196538936966,0.7929359702797203,0.8440427185157067,0.6216467126623377,0.6692998979671926
fixed::factcg,0.7799788011939303,0.0008005692105893235,0.8229098231613031,0.7288627935723115,0.7369943085855738,0.5075215893682452,0.7218060329698078,0.678817605522401,0.8898939518816137,0.5516873889875666,0.09607384923316317,0.42831585914959047,0.1886244829316506,0.17682959449830188,427.5041642626059,130.57681100390624,1073.4697599697977,7859.256236238414,2.3391585008882467,427.50411280639327,1073.469708513585,1.0,0.7678689029668473,0.7974860064191098,0.6369025194254767,3236.0,0.22651421508034614,0.22111225540679708,0.21858719646799116,0.23568945538818076,0.24955357142857143,0.2711372064276885,0.814805506993007,0.8418661620954733,0.7779014233534324,0.6369025194254767
fixed::wecheck,0.7691233974119775,0.0009815999923138427,0.8086124877985629,0.69385043263288,0.7029999621108177,0.44893233571044944,0.6816078541234293,0.6233344612371099,0.8737408246177216,0.49449378330373,0.09245939729466607,0.3200994555832094,0.19609301229997225,0.19041853297380965,496.01290999940267,190.29161256512094,1436.407273260189,4536.64767321934,2.0160765573646144,496.0128569907809,1436.4072202515672,1.0,0.7436683442707059,0.7722828683731994,0.6518581743976141,3236.0,0.22719406674907291,0.2364572605561277,0.2511258278145696,0.2711857860177675,0.28513049450549455,0.30614956736711996,0.7825193036130537,0.8379691800322673,0.7023267190398886,0.6518581743976141
fixed::factkb,0.7628239955635212,0.005260637297650909,0.8026438030656651,0.7054697156983931,0.7173345113424521,0.5098285083684095,0.6872498442853555,0.6121367593797641,0.977625531235096,0.44695085849615157,0.059454985110261795,0.36779432249596805,0.1828685447497643,0.17799200767665507,37.01458500162504,21.82912870930781,94.85230271102668,333.7045031629742,27.01637746191414,37.01453778784254,94.85225549724419,1.0,0.6342127982136779,0.7035623797261019,0.47700729927007296,3236.0,0.2353522867737948,0.2528836251287333,0.24715231788079475,0.25345693317883355,0.27101648351648355,0.294530284301607,0.657238854895105,0.861623475609756,0.5409815630797775,0.47700729927007296
fixed::granite_guardian_3_2_3b_a800m,0.7550137530076931,0.007916882089886265,0.7598902799699032,0.6327564894932014,0.6463382784456863,0.36789529376605856,0.6005698487131966,0.48765987775668673,0.8943732136779484,0.3368265245707519,0.14207380338995135,0.5418535852860606,0.22168620401367445,0.2397285521899178,263.87180386583844,275.78908136233224,456.21397485551427,549.5487105264563,3.789719042919928,263.8717550045584,456.21392599423416,1.0,0.6713084688430375,0.7095211801294872,0.573018208931795,3236.0,0.2818294190358467,0.30906282183316164,0.308962472406181,0.3271919660100425,0.3384615384615385,0.36724351050679854,0.7134032634032634,0.8092980390528612,0.5895143639842301,0.573018208931795
fixed::minicheck_ft5,0.7390736018413376,0.0027877195832828306,0.762177964031781,0.6884734239802226,0.6963245771050598,0.41990011059296395,0.6803945421955558,0.6321887126875706,0.8243514990593017,0.5174067495559503,0.12191351183733559,0.4224959893014829,0.21586261527505807,0.2873121311302522,364.0288314142046,160.1160446476255,1681.5997286426548,4196.307492441307,2.7470351623390106,364.0287797662148,1681.599676994665,1.0,0.7230664575351616,0.7534428468276907,0.5871831096460247,3236.0,0.29641532756489497,0.27749742533470645,0.28459161147902867,0.2965623792970259,0.2976304945054945,0.3115265760197775,0.7768793706293706,0.8019582779728577,0.7262450718923933,0.5871831096460247
