system,verifier,features,heads,routing,platt,isotonic,end_to_end,part1_basis,uncharged_by_part1,measured_mean_ms
fixed::granite_guardian_3_2_8b_factuality,690.0147674194055,0.0,0.0,0.0,2.7407941442128035e-05,1.6233095836195962e-05,690.0148110604428,690.0147674194055,4.3641037223096646e-05,690.0148110604428
fixed::qwen30_judge,600.8660680483032,0.0,0.0,0.0,2.7278430295972284e-05,1.210747812273112e-05,600.8661074342116,600.8660680483031,3.938590850793844e-05,600.8661074342115
fixed::alignscore,561.6505837401235,0.0,0.0,0.0,2.7599752862933143e-05,2.348053241603316e-05,561.6506348204088,561.6505837401235,5.108028528866271e-05,561.6506348204088
fixed::wecheck,496.0128569907809,0.0,0.0,0.0,2.793547624983446e-05,2.5073145552911326e-05,496.01290999940267,496.0128569907808,5.300862187596067e-05,496.01290999940255
fixed::minicheck_dbta,480.6411952140502,0.0,0.0,0.0,2.7677874073353958e-05,2.1110290291774396e-05,480.64124400221453,480.6411952140502,4.878816434938926e-05,480.6412440022146
fixed::factcg,427.5041128063933,0.0,0.0,0.0,2.7553832936371194e-05,2.390237966735418e-05,427.5041642626059,427.5041128063933,5.1456212588618655e-05,427.5041642626059
fixed::granite_guardian_4_1_3b_factuality_lora,376.7556717445145,0.0,0.0,0.0,2.7273886644814454e-05,2.4161464916035643e-05,376.75572317986604,376.7556717445145,5.143535156548751e-05,376.7557231798661
fixed::minicheck_ft5,364.0287797662149,0.0,0.0,0.0,2.7465820830540987e-05,2.418216901767437e-05,364.0288314142047,364.0287797662148,5.164798989198971e-05,364.02883141420455
fixed::granite_guardian_3_2_3b_a800m,263.87175500455834,0.0,0.0,0.0,2.7236372742707507e-05,2.1624907351741327e-05,263.8718038658384,263.87175500455834,4.886128004955026e-05,263.87180386583844
fixed::hhem,223.29777995245803,0.0,0.0,0.0,2.7786186460678425e-05,1.391010426634713e-05,223.29782164874874,223.29777995245806,4.169629067973801e-05,223.29782164874877
fixed::qwen30_fast,211.64676892352676,0.0,0.0,0.0,2.7429728393330113e-05,1.849663141025265e-05,211.64681484988657,211.64676892352676,4.5926359803161176e-05,211.64681484988657
fixed::granite_guardian_3_1_2b,131.81202981387514,0.0,0.0,0.0,2.7273393786375322e-05,2.264595129763148e-05,131.81207973322023,131.8120298138751,4.991934511622276e-05,131.8120797332202
OURS,78.8199587621036,27.29291416183124,0.03061387274298169,0.00010531282388258678,7.075426556263234e-05,2.4321600288982713e-05,106.14368718536755,86.48530879464086,19.658378390726696,106.14368718536755
OURS_legacy_hp,77.77939522144078,27.29291416183124,0.03300342527718571,0.00010134984540685157,6.591566740903584e-05,2.486949923393007e-05,105.10550494356126,85.44474525397804,19.660759689583216,105.10550494356129
fixed::lettuce_v2,61.60762110813256,0.0,0.0,0.0,2.749539503501901e-05,1.0951915750831448e-05,61.60765955544335,61.60762110813256,3.8447310785727495e-05,61.60765955544335
fixed::factcc,37.60254100197206,0.0,0.0,0.0,2.822775074769484e-05,1.8581706601424128e-05,37.6025878114294,37.602541001972064,4.6809457337815275e-05,37.60258781142941
fixed::factkb,37.01453778784255,0.0,0.0,0.0,2.8328122088325307e-05,1.8885660405289173e-05,37.01458500162504,37.01453778784255,4.7213782494281986e-05,37.01458500162504
