system,coverage,selective_error
OURS,0.02,0.012352941176470556
OURS,0.04,0.008823529411764675
OURS,0.06,0.005870841487279899
OURS,0.08,0.004405286343612369
OURS,0.1,0.017743830787309046
OURS,0.12000000000000001,0.027717923604309504
OURS,0.13999999999999999,0.04781879194630871
OURS,0.16,0.06747430249632894
OURS,0.18,0.08224543080939947
OURS,0.19999999999999998,0.09377203290246769
OURS,0.22,0.10523224773091297
OURS,0.24,0.11209006363191383
OURS,0.26,0.12042476276547673
OURS,0.28,0.12454888795635752
OURS,0.30000000000000004,0.12920908379013313
OURS,0.32,0.13322320117474304
OURS,0.34,0.13714581893572908
OURS,0.36000000000000004,0.14141644908616188
OURS,0.38,0.14435857805255026
OURS,0.4,0.14740088105726873
OURS,0.42000000000000004,0.14990209790209788
OURS,0.44,0.15212283044058744
OURS,0.46,0.15559244126659857
OURS,0.48000000000000004,0.15702398433675968
OURS,0.5,0.15977443609022557
OURS,0.52,0.16190691369182106
OURS,0.54,0.1634247171453438
OURS,0.56,0.1656387665198238
OURS,0.5800000000000001,0.16712578488960905
OURS,0.6,0.1679655374975524
OURS,0.62,0.16990714421072578
OURS,0.64,0.17112701908957412
OURS,0.66,0.17276610893556424
OURS,0.68,0.17432619212163095
OURS,0.7000000000000001,0.17680429674387382
OURS,0.7200000000000001,0.18051884483602545
OURS,0.74,0.18572789331639944
OURS,0.76,0.1912196630081929
OURS,0.78,0.19746949841843656
OURS,0.8,0.2037885462555066
OURS,0.8200000000000001,0.21055873925501434
OURS,0.8400000000000001,0.21633566433566428
OURS,0.86,0.2221857923497268
OURS,0.88,0.22806033907355494
OURS,0.9,0.23374233128834354
OURS,0.92,0.2396245690205593
OURS,0.9400000000000001,0.24519435070616166
OURS,0.9600000000000001,0.2508443465491924
OURS,0.98,0.25631742987293216
OURS,1.0,0.26206531954887213
OURS_legacy_hp,0.02,0.0117647058823529
OURS_legacy_hp,0.04,0.008529411764705851
OURS_legacy_hp,0.06,0.005675146771037231
OURS_legacy_hp,0.08,0.004258443465491956
OURS_legacy_hp,0.1,0.018096357226792016
OURS_legacy_hp,0.12000000000000001,0.032517140058765916
OURS_legacy_hp,0.13999999999999999,0.0549496644295302
OURS_legacy_hp,0.16,0.07430249632892805
OURS_legacy_hp,0.18,0.08668407310704963
OURS_legacy_hp,0.19999999999999998,0.09900117508813161
OURS_legacy_hp,0.22,0.10832888414308597
OURS_legacy_hp,0.24,0.11561429270680372
OURS_legacy_hp,0.26,0.12291007681879802
OURS_legacy_hp,0.28,0.1274024339068401
OURS_legacy_hp,0.30000000000000004,0.13194988253719656
OURS_legacy_hp,0.32,0.1354992657856094
OURS_legacy_hp,0.34,0.13977194194885972
OURS_legacy_hp,0.36000000000000004,0.14468015665796347
OURS_legacy_hp,0.38,0.14772797527047915
OURS_legacy_hp,0.4,0.15145374449339208
OURS_legacy_hp,0.42000000000000004,0.15342657342657345
OURS_legacy_hp,0.44,0.15567423230974634
OURS_legacy_hp,0.46,0.15809499489274775
OURS_legacy_hp,0.48000000000000004,0.16025452765540874
OURS_legacy_hp,0.5,0.1623825187969925
OURS_legacy_hp,0.52,0.16443741527338457
OURS_legacy_hp,0.54,0.16544821583986077
OURS_legacy_hp,0.56,0.16758967904342356
OURS_legacy_hp,0.5800000000000001,0.1686246708527446
OURS_legacy_hp,0.6,0.170452320344625
OURS_legacy_hp,0.62,0.17220011370096647
OURS_legacy_hp,0.64,0.1734948604992658
OURS_legacy_hp,0.66,0.17463510145959416
OURS_legacy_hp,0.68,0.17643400138217
OURS_legacy_hp,0.7000000000000001,0.17933870426317555
OURS_legacy_hp,0.7200000000000001,0.18384728340675477
OURS_legacy_hp,0.74,0.18972852833783144
OURS_legacy_hp,0.76,0.1960117483382285
OURS_legacy_hp,0.78,0.20244012652507903
OURS_legacy_hp,0.8,0.20928046989721
OURS_legacy_hp,0.8200000000000001,0.2155444126074498
OURS_legacy_hp,0.8400000000000001,0.22023776223776217
OURS_legacy_hp,0.86,0.22648907103825136
OURS_legacy_hp,0.88,0.23225203577626483
OURS_legacy_hp,0.9,0.23791933167993734
OURS_legacy_hp,0.92,0.2431490231132678
OURS_legacy_hp,0.9400000000000001,0.2488813898262717
OURS_legacy_hp,0.9600000000000001,0.25428291727851193
OURS_legacy_hp,0.98,0.25932630064732676
OURS_legacy_hp,1.0,0.26495535714285723
fixed::factcc,0.02,0.2958823529411765
fixed::factcc,0.04,0.3461764705882353
fixed::factcc,0.06,0.3735812133072407
fixed::factcc,0.08,0.40088105726872253
fixed::factcc,0.1,0.40834312573443016
fixed::factcc,0.12000000000000001,0.41322233104799216
fixed::factcc,0.13999999999999999,0.41107382550335575
fixed::factcc,0.16,0.41651982378854624
fixed::factcc,0.18,0.41546997389033946
fixed::factcc,0.19999999999999998,0.41886016451233843
fixed::factcc,0.22,0.41991457554725037
fixed::factcc,0.24,0.42359275575134603
fixed::factcc,0.26,0.420921825576141
fixed::factcc,0.28,0.4248006714225765
fixed::factcc,0.30000000000000004,0.42967893500391546
fixed::factcc,0.32,0.43069016152716594
fixed::factcc,0.34,0.4332757429163786
fixed::factcc,0.36000000000000004,0.4378916449086162
fixed::factcc,0.38,0.4402472952086553
fixed::factcc,0.4,0.44311306901615266
fixed::factcc,0.42000000000000004,0.44388811188811195
fixed::factcc,0.44,0.4472363150867823
fixed::factcc,0.46,0.44675689479060265
fixed::factcc,0.48000000000000004,0.44520313264806655
fixed::factcc,0.5,0.44685150375939847
fixed::factcc,0.52,0.4510845006778129
fixed::factcc,0.54,0.4561792863359443
fixed::factcc,0.56,0.45756240822320116
fixed::factcc,0.5800000000000001,0.4603402876240633
fixed::factcc,0.6,0.4607009986293322
fixed::factcc,0.62,0.4619291263975744
fixed::factcc,0.64,0.4622797356828194
fixed::factcc,0.66,0.46525453898184405
fixed::factcc,0.68,0.4672080165860401
fixed::factcc,0.7000000000000001,0.4698724404162471
fixed::factcc,0.7200000000000001,0.46914667971936685
fixed::factcc,0.74,0.46820130179393554
fixed::factcc,0.76,0.470211779254908
fixed::factcc,0.78,0.47129085705678564
fixed::factcc,0.8,0.47315712187958886
fixed::factcc,0.8200000000000001,0.4744985673352436
fixed::factcc,0.8400000000000001,0.47565034965034964
fixed::factcc,0.86,0.47625683060109286
fixed::factcc,0.88,0.47749299158990793
fixed::factcc,0.9,0.4786842448766479
fixed::factcc,0.92,0.4789554335333929
fixed::factcc,0.9400000000000001,0.4804899387576553
fixed::factcc,0.9600000000000001,0.480739109153206
fixed::factcc,0.98,0.48227043874370656
fixed::factcc,1.0,0.4847744360902255
fixed::factkb,0.02,0.03294117647058823
fixed::factkb,0.04,0.016470588235294115
fixed::factkb,0.06,0.010958904109589085
fixed::factkb,0.08,0.031130690161527162
fixed::factkb,0.1,0.03301997649823738
fixed::factkb,0.12000000000000001,0.037316356513222314
fixed::factkb,0.13999999999999999,0.05989932885906041
fixed::factkb,0.16,0.09089574155653452
fixed::factkb,0.18,0.11390339425587467
fixed::factkb,0.19999999999999998,0.13930669800235015
fixed::factkb,0.22,0.1555792845702082
fixed::factkb,0.24,0.1681350954478708
fixed::factkb,0.26,0.18011748757342977
fixed::factkb,0.28,0.1911036508602602
fixed::factkb,0.30000000000000004,0.19866875489428346
fixed::factkb,0.32,0.2085535976505139
fixed::factkb,0.34,0.21520387007601935
fixed::factkb,0.36000000000000004,0.22281331592689302
fixed::factkb,0.38,0.22642967542503864
fixed::factkb,0.4,0.2320117474302496
fixed::factkb,0.42000000000000004,0.23546853146853147
fixed::factkb,0.44,0.24245660881174896
fixed::factkb,0.46,0.24576098059244122
fixed::factkb,0.48000000000000004,0.247870778267254
fixed::factkb,0.5,0.2511748120300752
fixed::factkb,0.52,0.2551513782196114
fixed::factkb,0.54,0.2581592689295039
fixed::factkb,0.56,0.2595762534088525
fixed::factkb,0.5800000000000001,0.2620822361758153
fixed::factkb,0.6,0.26481300176228706
fixed::factkb,0.62,0.2670835702103468
fixed::factkb,0.64,0.2690528634361234
fixed::factkb,0.66,0.2703275186899252
fixed::factkb,0.68,0.27107809260539045
fixed::factkb,0.7000000000000001,0.27306143001007055
fixed::factkb,0.7200000000000001,0.27477565671398274
