system,auroc_stage1,auroc_stage2,d_auroc,ece_stage1,ece_stage2,d_ece,brier_stage1,brier_stage2,d_brier
fixed::hhem,0.6060694955160364,0.6245252597180736,0.018455764202037206,0.10466272376879723,0.017385551818783616,-0.08727717195001361,0.23312842119444896,0.22438458823300672,-0.008743832961442238
fixed::granite_guardian_3_2_8b_factuality,0.6613928139310146,0.6702840210097347,0.008891207078720154,0.09790178439658925,0.01762051194854041,-0.08028127244804883,0.21092635101794777,0.19798108991545166,-0.012945261102496108
fixed::lettuce_v2,0.6046163964335772,0.6121616504684679,0.007545254034890703,0.01138144486470431,0.014028759498552474,0.0026473146338481645,0.22469366016193693,0.22606825464121375,0.0013745944792768194
OURS,0.7908158637479464,0.7933003646708998,0.002484500922953381,0.10195570613415621,0.021613434064069317,-0.08034227207008689,0.1866015334772268,0.17262456164577752,-0.013976971831449275
fixed::qwen30_fast,0.7666353922467403,0.768927958891644,0.0022925666449037374,0.07203337796457984,0.014397489042853201,-0.05763588892172664,0.1835951130172749,0.1733175626795572,-0.010277550337717711
OURS_legacy_hp,0.7880916993957109,0.7899055001708337,0.0018138007751228313,0.099714965756376,0.024000326021185063,-0.07571463973519094,0.18745433391253136,0.1741810161883402,-0.013273317724191158
fixed::qwen30_judge,0.763183222319573,0.7638970002040985,0.0007137778845254239,0.05129500594080013,0.02029399012305629,-0.03100101581774384,0.1821337947782554,0.17309504859604102,-0.009038746182214369
fixed::minicheck_ft5,0.7029554608734285,0.7011700196317884,-0.001785441241640151,0.02893517396462366,0.023928165759237202,-0.005007008205386458,0.20879745833043079,0.21019878404051656,0.0014013257100857768
fixed::factcc,0.5349979167300952,0.5323734984388162,-0.002624418291279018,0.009375216904690937,0.019723911366617976,0.010348694461927039,0.24398627773059686,0.2454351349850627,0.0014488572544658351
fixed::granite_guardian_3_2_3b_a800m,0.6671286677108388,0.6637164097394418,-0.0034122579713969925,0.06347044602506272,0.021030969719368384,-0.042439476305694335,0.2181591881982333,0.2152029197788708,-0.002956268419362501
fixed::factkb,0.6777428714957934,0.674319754585731,-0.0034231169100623626,0.0768101871074103,0.02501222345197566,-0.051797963655434646,0.20781549784547187,0.19998724267979776,-0.00782825516567412
fixed::factcg,0.7592350509174844,0.7550049192232533,-0.004230131694231143,0.050541761022509554,0.020787890282362866,-0.02975387074014669,0.1847314888324936,0.18411392390993464,-0.0006175649225589608
fixed::alignscore,0.785712030080275,0.7811302232566216,-0.004581806823653389,0.022907590005690755,0.021538308105892738,-0.0013692818997980173,0.17968565327959993,0.18128313726136677,0.0015974839817668451
fixed::granite_guardian_4_1_3b_factuality_lora,0.623701522393883,0.6188730073622025,-0.004828515031680469,0.023782794201603306,0.021951265322490615,-0.0018315288791126913,0.23369332774458282,0.23445607317857625,0.0007627454339934336
fixed::wecheck,0.7387180842486754,0.7333738119159656,-0.005344272332709732,0.035292852453928804,0.02146795789850893,-0.013824894555419874,0.19497800429993603,0.1958114452607409,0.000833440960804871
fixed::granite_guardian_3_1_2b,0.7457959105891002,0.7402366949810955,-0.005559215608004764,0.017530025353792236,0.021127906632528042,0.003597881278735806,0.19206941042049036,0.19460490594632393,0.00253549552583357
fixed::minicheck_dbta,0.6438048119870052,0.636422701383697,-0.0073821106033081785,0.04508176211772955,0.024072847952381796,-0.021008914165347756,0.22965800497904612,0.22554165708285773,-0.004116347896188394
