system,rule,primary,mean_threshold,acc,bacc,mcc,f1_macro,f1_unsup,prec_unsup,rec_unsup,auroc,ece,brier,aurc
OURS,fixed05,False,0.5,0.7412855377008652,0.7469003395865792,0.5124684062398717,0.7376549344011708,0.7120912539460822,0.8520402427663398,0.6189461219656601,0.8225560999095635,0.03882592944797744,0.16854769793906116,0.14039875733860735
OURS,mcc,True,0.5448531999136923,0.7364647713226204,0.7415322461817081,0.5061348781191277,0.7314646522040189,0.7088808804139185,0.8463158394195794,0.6260509177027828,0.8225560999095635,0.03882592944797744,0.16854769793906116,0.1403927106590189
OURS,youden,False,0.7322024038582329,0.732540173053152,0.7288544301447863,0.46935901248262707,0.7275540130301197,0.7600378657767778,0.7177696712921753,0.8128478389579634,0.8225560999095635,0.03882592944797744,0.16854769793906116,0.13958420346902903
OURS,conformal,False,0.7991988294991822,0.7202410383189122,0.7138387176157523,0.4499365837617155,0.7109642628980738,0.7623596224278221,0.685168989062008,0.8597394908229722,0.8225560999095635,0.03882592944797744,0.16854769793906116,0.14409748226967528
OURS_legacy_hp,fixed05,False,0.5,0.7402657601977751,0.7450919348474463,0.5050582932510738,0.7374121721359775,0.717056245181029,0.8356005563473914,0.635109532267614,0.816645119586296,0.03772859403811892,0.17137098638963721,0.14585773611710812
OURS_legacy_hp,mcc,True,0.5883939217275664,0.7301297898640298,0.7326131135607679,0.4857972031771193,0.7247150337823964,0.7177811774336194,0.8042946041558995,0.6760213143872112,0.816645119586296,0.03772859403811892,0.17137098638963721,0.1456767716935715
OURS_legacy_hp,youden,False,0.7378639601551739,0.7242583436341162,0.7203446729149372,0.45364502079379826,0.7184248671922744,0.7536810839612229,0.7101623332279711,0.8095322676139729,0.816645119586296,0.03772859403811892,0.17137098638963721,0.14568989062710722
OURS_legacy_hp,conformal,False,0.7995501998133178,0.7147095179233621,0.7082707109350094,0.43815200499769313,0.7052736421625628,0.7577928923090526,0.6806037874401294,0.8550029603315572,0.816645119586296,0.03772859403811892,0.17137098638963721,0.14937034566553156
fixed::factcc,fixed05,False,0.5,0.47938813349814585,0.5011343600153546,0.014470865233576793,0.32859694600745387,0.010498661444287922,0.85752688172043,0.00556542332741267,0.5708926499961919,0.16127155596174353,0.2716451906657742,0.5291327561658423
fixed::factcc,mcc,True,0.6864727556174939,0.5319839307787392,0.5339165014277333,0.09287665437961784,0.46723461703123376,0.4534045838661269,0.6224957133371788,0.4898756660746003,0.5708926499961919,0.16127155596174353,0.2716451906657742,0.48210680806070555
fixed::factcc,youden,False,0.6411069564412087,0.5404202719406674,0.5471420649145026,0.10250938118001929,0.5243352748390042,0.46144711475318695,0.5953225746399671,0.3939609236234458,0.5708926499961919,0.16127155596174353,0.2716451906657742,0.5022623767358367
