seed,rotation,beta,beta_legacy_hp
17,0,0.2,0.1
17,1,0.2,0.2
17,2,0.1,0.1
17,3,0.2,0.2
17,4,0.1,0.1
17,5,0.1,0.1
17,6,0.1,0.1
17,7,0.1,0.2
17,8,0.2,0.2
17,9,0.1,0.1
29,0,0.1,0.1
29,1,0.1,0.1
29,2,0.2,0.2
29,3,0.2,0.2
29,4,0.1,0.1
29,5,0.2,0.2
29,6,0.1,0.1
29,7,0.1,0.2
29,8,0.2,0.2
29,9,0.1,0.2
43,0,0.2,0.2
43,1,0.1,0.2
43,2,0.2,0.2
43,3,0.1,0.1
43,4,0.2,0.1
43,5,0.2,0.2
43,6,0.2,0.1
43,7,0.1,0.1
43,8,0.1,0.1
43,9,0.1,0.1
7,0,0.2,0.2
7,1,0.2,0.2
7,2,0.1,0.1
7,3,0.2,0.2
7,4,0.2,0.2
7,5,0.2,0.2
7,6,0.1,0.1
7,7,0.1,0.2
7,8,0.2,0.2
7,9,0.2,0.1
11,0,0.1,0.1
11,1,0.2,0.2
11,2,0.1,0.1
11,3,0.2,0.2
11,4,0.1,0.1
11,5,0.1,0.1
11,6,0.1,0.2
11,7,0.1,0.1
11,8,0.1,0.2
11,9,0.2,0.2
23,0,0.1,0.2
23,1,0.1,0.2
23,2,0.1,0.2
23,3,0.1,0.1
23,4,0.1,0.2
23,5,0.1,0.1
23,6,0.2,0.1
23,7,0.2,0.1
23,8,0.2,0.2
23,9,0.1,0.2
31,0,0.1,0.2
31,1,0.1,0.1
31,2,0.2,0.2
31,3,0.2,0.2
31,4,0.1,0.1
31,5,0.1,0.1
31,6,0.1,0.1
31,7,0.1,0.2
31,8,0.2,0.1
31,9,0.1,0.1
37,0,0.2,0.2
37,1,0.2,0.2
37,2,0.2,0.2
37,3,0.1,0.1
37,4,0.1,0.1
37,5,0.1,0.2
37,6,0.2,0.1
37,7,0.1,0.1
37,8,0.1,0.2
37,9,0.1,0.1
53,0,0.2,0.2
53,1,0.2,0.1
53,2,0.2,0.1
53,3,0.1,0.1
53,4,0.2,0.2
53,5,0.2,0.2
53,6,0.1,0.1
53,7,0.1,0.2
53,8,0.1,0.1
53,9,0.1,0.1
61,0,0.2,0.1
61,1,0.1,0.1
61,2,0.1,0.2
61,3,0.2,0.2
61,4,0.2,0.2
61,5,0.1,0.1
61,6,0.2,0.2
61,7,0.1,0.1
61,8,0.1,0.1
61,9,0.2,0.1
