arm,auroc,auroc_sd,d_auroc_vs_ours,ece,d_ece_vs_ours,brier,aurc,bacc,mcc,ms,d_ms_vs_ours,p95_ms,ms_deterministic,mean_calls,auprc_unsup,n,acc,f1_macro,f1_unsup,prec_unsup,rec_unsup,mce,p50_ms,p99_ms,qps,selerr@0.5,selerr@0.6,selerr@0.7,selerr@0.8,selerr@0.9,selerr@1.0
no_stage2,0.8260844630241767,0.0024761465793966997,0.003528363114613242,0.1139319679092127,0.07510603846123526,0.18544590115409737,0.1492697744046624,0.7382536646302188,0.4998951075442394,106.14368718536755,-0.003830924941823355,225.15836184352028,86.48530879464086,1.0,0.8561822572298468,3236.0,0.7345797280593326,0.7289724341739763,0.7155355027166499,0.8275125170414549,0.6545293072824157,0.3953090978628432,69.25253879776082,757.6278737745713,9.423011600448756,0.13831891223733006,0.1744078269824923,0.21355408388520974,0.24522981846272693,0.2714972527472527,0.26542027194066753
drop_feature::year_count,0.823591393108685,0.004299949354190277,0.0010352931991215453,0.03794385637500315,-0.0008820730729742904,0.16791371822366105,0.1396489373252805,0.74664877838005,0.5125913696373454,106.68405867608968,0.5365405657802995,225.30183142874847,87.0247941563162,1.0,0.8370613262991651,3236.0,0.7411619283065514,0.7373033455423869,0.7122344735528695,0.8513696978469001,0.621610420367081,0.5055049927221915,70.36869209326797,780.0860953689147,9.373985658341027,0.14184177997527814,0.1487126673532441,0.17540838852097132,0.21286210892236382,0.23506181318681324,0.2588380716934487
OURS,0.8225560999095635,0.004736921283365409,0.0,0.03882592944797744,0.0,0.16854769793906116,0.1403927106590189,0.7415322461817081,0.5061348781191277,106.14751811030938,0.0,225.1621927684621,86.48530879464086,1.0,0.8352164160298908,3236.0,0.7364647713226204,0.7314646522040189,0.7088808804139185,0.8463158394195794,0.6260509177027828,0.45964126660712923,69.25636972270264,757.6317046995131,9.422673725185884,0.1433868974042027,0.14752832131822863,0.1759823399558499,0.21151023561220547,0.23389423076923074,0.26353522867737944
drop_feature::conflicting_value_rate,0.822454258380494,0.00405187700694693,-0.00010184152906944632,0.03810575373826627,-0.0007201757097111752,0.16831448494490608,0.13977558319661254,0.7447931843867482,0.5085868962164695,106.340913940834,0.19339583052462217,225.15393664648045,86.68044982155146,1.0,0.8350128455262039,3236.0,0.7399567367119901,0.7360077141432563,0.7151050773706012,0.8414995334218689,0.6345766725873297,0.3829438986371467,69.4576617431686,758.1119274180927,9.4053728150881,0.14307787391841778,0.14922760041194644,0.17434878587196467,0.21174198532251834,0.23255494505494506,0.2600432632880099
drop_feature::entity_coverage,0.8220289236066062,0.00323156697527707,-0.0005271763029572885,0.039740166870066956,0.0009142374220895144,0.1690703756060113,0.14129484458659108,0.7415259504539622,0.505631653438763,106.95299290715846,0.805474796849083,224.6259152819685,87.29068418673329,1.0,0.8347202873096704,3236.0,0.7365574783683561,0.7316298951377112,0.7096520108348976,0.8440804974520313,0.6283007696862047,0.5072490775089716,72.4192799428702,737.7254383819246,9.351124418256232,0.14357231149567368,0.1515447991761071,0.1772185430463576,0.21212823483970644,0.23461538461538461,0.26344252163164406
drop_feature::entity_value_colocation,0.8217475294530983,0.005523735205422592,-0.0008085704564652074,0.039335966105959894,0.0005100366579824517,0.16920152152557633,0.14064357166915614,0.7422694969503035,0.507809030289454,105.26516485073864,-0.8823532595707348,224.13177831119955,85.60493292678994,1.0,0.835183054995302,3236.0,0.7363720642768852,0.7315012951551394,0.7033746171276363,0.8569629758841402,0.6078744819419775,0.4442719389266312,67.60242119132876,748.917453286775,9.504287321646501,0.1414091470951792,0.15030895983522144,0.17726269315673288,0.21730397837002702,0.23894230769230768,0.26362793572311494
target::brier,0.8178968021147522,0.007128129873847905,-0.0046592977948112235,0.04612870986757032,0.007302780419592876,0.1705344886455238,0.1440916203731642,0.736383508178514,0.5063233532574614,109.44435163948204,3.296833529172659,220.68045351392294,89.78387544875534,1.0,0.8311220619657762,3236.0,0.7282138442521632,0.7209914435555443,0.6774442736966243,0.8892079668710098,0.5502072232089994,0.4278649838563947,74.07640294899404,784.3950350971861,9.300919054632626,0.14085290482076637,0.1513903192584964,0.19403973509933775,0.2302819621475473,0.25212912087912087,0.2717861557478368
target::prob_quality,0.8143100169429707,0.004991271931793008,-0.008246082966592794,0.042897009546584694,0.004071080098607252,0.1723187200553376,0.15024937423383214,0.7331781790459044,0.4999031430457168,110.97627696474024,4.828758854430859,225.1260474539384,91.31596535815972,1.0,0.8289276659283527,3236.0,0.7254635352286775,0.7181220862683626,0.6770488978381358,0.8807679703286302,0.5573712255772647,0.3626170711023294,81.86173548170413,755.7880900361281,9.120712566821647,0.15556242274412854,0.1570030895983522,0.19037527593818981,0.22607184241019698,0.24941620879120885,0.27453646477132265
target::pairwise_rank,0.8116049972386824,0.004532732591558888,-0.010951102670881063,0.04042703823979018,0.0016011087918127373,0.1736698680753424,0.1487317026072925,0.7299609664879751,0.4654757919500745,101.19045357413978,-4.957064536169597,229.75925641649664,81.53181073149494,1.0,0.8236135170713327,3236.0,0.7318912237330036,0.7291804466034395,0.7504954763661073,0.7325719588397938,0.7739490822972173,0.34556128198542774,61.11825673315758,751.2420553505824,9.885382979794283,0.15828182941903585,0.16364572605561278,0.18269315673289183,0.2061413673232908,0.22809065934065936,0.26810877626699625
no_cost,0.809040550227469,0.003962987674177098,-0.013515549682094452,0.05799349087221635,0.019167561424238908,0.17391519417632212,0.15696656059992978,0.7480385841999049,0.5170720163311702,142.74088018794527,36.59336207763589,250.4656731661832,123.0827075392764,1.0,0.8301358539129549,3236.0,0.7419035846724351,0.7378496350872671,0.7092416235870702,0.8621540796917353,0.6082297217288337,0.4240532076060869,126.98104612842296,692.7038077622301,7.005901241997509,0.1931396786155748,0.18336766220391348,0.18653421633554085,0.21154886056392427,0.23526785714285717,0.2580964153275649
