arm,auroc,auroc_sd,d_auroc_vs_reference,mean_calls,ms,d_ms_vs_reference,ece,brier,aurc,bacc,mcc,p95_ms,n,auprc_unsup,acc,f1_macro,f1_unsup,prec_unsup,rec_unsup,mce,p50_ms,p99_ms,qps,selerr@0.5,selerr@0.6,selerr@0.7,selerr@0.8,selerr@0.9,selerr@1.0,ms_deterministic
second::raw_margin,0.8284520585116134,0.0037197080964974055,0.005895958602049944,1.1633498145859085,125.8825856606361,19.73518661352466,0.04005700740767521,0.16816459867477013,0.12849964083206367,0.7390262594995642,0.4990175221074412,278.1317118579181,3236.0,0.8403455029076907,0.7338998763906057,0.72929912225359,0.7053724194910862,0.8412230896939116,0.6222024866785081,0.31265441764059876,107.45162542718842,829.4460584023054,7.948532505698806,0.12911001236093944,0.14253347064881566,0.1696688741721854,0.20509849362688298,0.23471840659340662,0.2661001236093943,106.22074587324724
reference,0.8225560999095635,0.004736921283365409,0.0,1.0,106.14739904711143,0.0,0.03882592944797744,0.16854769793906116,0.13652297119208628,0.7415322461817081,0.5061348781191277,225.16207370526416,3236.0,0.8352164160298908,0.7364647713226204,0.7314646522040189,0.7088808804139185,0.8463158394195794,0.6260509177027828,0.45964126660712923,69.25625065950469,757.6315856363152,9.422685157497593,0.14245982694684795,0.1486096807415036,0.1695364238410596,0.20336037079953648,0.23585164835164835,0.26353522867737944,86.48530879464086
second::discounted_margin,0.8224307977050638,0.004536440381748856,-0.00012530220449968876,1.1191903584672436,120.57740222536233,14.4300031782509,0.0395672631192557,0.16777184801000905,0.1373536687393561,0.7497138792666951,0.5139811635093805,254.53967473000012,3236.0,0.8364144134814774,0.7461372064276885,0.7430441881735999,0.7307051321082867,0.8265634597161853,0.6682060390763765,0.31389368254384487,92.59653838776647,827.791969412681,8.36491057251332,0.14468479604449938,0.15545829042224513,0.1711699779249448,0.19915025106218617,0.22946428571428568,0.25386279357231156,100.91582069396806
second::verifier_confidence,0.8174202786730212,0.006424911738812592,-0.005135821236542215,1.204264524103832,128.44265888260514,22.29525983549371,0.04108374010507586,0.17196707513912907,0.14081301375621907,0.7413764795438602,0.49625426250666715,274.71921372583427,3236.0,0.833095433954141,0.7371446229913474,0.7343281580009119,0.7169955450009079,0.822701806422209,0.6449378330373002,0.4262867084640968,104.15647392895593,830.5434682542511,7.866498953872201,0.14666254635352288,0.15993820803295572,0.18618101545253865,0.20776361529548087,0.23255494505494506,0.2628553770086527,108.78082849756355
learner::gbr,0.8049451888967092,0.009166481367145676,-0.01761091101285428,1.0,111.49521338854959,5.347814341438152,0.048756511723586,0.17602316595339063,0.1529959386824858,0.7296665024802106,0.4922599360400781,226.65693851604814,3236.0,0.8210504938087011,0.722929542645241,0.7151737592126393,0.679926900495327,0.8647868932223199,0.5761397276494968,0.40602205311324796,78.67708079730147,757.5513202713283,9.124801015259218,0.16637824474660073,0.17049433573635428,0.18662251655629142,0.2208574739281576,0.24934752747252747,0.27707045735475894,91.86261800795722
learner::extra_trees,0.8014054016195903,0.006680475370688768,-0.02115069828997318,1.0,129.4028460089218,23.255446961810378,0.05674975359962029,0.17911826018678445,0.15734853127688408,0.7303406620196924,0.4875607882521729,235.0264231324862,3236.0,0.8179381307037451,0.7234857849196538,0.7172698740779968,0.6811560373510789,0.8569604408970026,0.5741267021906454,0.3547175886354596,105.70698883672851,703.0475393015263,7.9637682292780525,0.1811495673671199,0.18316168898043253,0.19461368653421635,0.21857860177674776,0.2458447802197802,0.2765142150803461,109.74000004813932
learner::hgb,0.7934812427498666,0.006036416194913887,-0.02907485715969682,1.0,105.5283218415985,-0.6190772055129372,0.05733141828011477,0.18158405520275955,0.16342623787683952,0.7233866575732629,0.4873817656656187,221.8713108401226,3236.0,0.811009287109344,0.7144622991347342,0.7047861639682771,0.6533574172845971,0.8921748364854108,0.5200118413262286,0.4592096076763461,68.60921232093281,773.9229151310972,9.560671826815867,0.17768850432632882,0.182389289392379,0.19876379690949228,0.2343762070297412,0.2686813186813187,0.28553770086526575,85.89360855115017
learner::tree,0.7899414172008467,0.007130228506253572,-0.03261468270871681,1.0,107.49242563218255,1.3450265850711105,0.06036153759155747,0.18483611903029581,0.17209906861603147,0.713046910252009,0.46781861945565983,223.65776082250278,3236.0,0.8080863141669529,0.7048516687268231,0.6939730446732516,0.6460441198036857,0.8732178433849546,0.5262877442273534,0.5283899518970061,72.16684461262528,796.1109378451202,9.37366761586242,0.18677379480840545,0.1881050463439753,0.2119646799116998,0.23986095017381232,0.2663118131868132,0.29514833127317674,87.86338335254958
learner::ridge,0.7883381689880488,0.004362287857245158,-0.034217930921514705,1.0,142.1546030513685,36.00720400425706,0.06607113706236384,0.18396287728195754,0.16868412549007952,0.7348638266619669,0.4932993949067369,243.07747216283215,3236.0,0.8120075635843198,0.7279975278121137,0.7229403340455633,0.6879076793243403,0.857602918998819,0.5783895796329188,0.4018237042848103,124.85587655012833,798.9981664631999,7.042884004044316,0.20630407911001236,0.20478887744593202,0.21567328918322298,0.2381614522981846,0.2504464285714286,0.2720024721878863,122.52554212241424
learner::mlp,0.7851107186965509,0.01243675238692106,-0.03744538121301255,1.0,127.06028951391298,20.912890466801542,0.06261517046487118,0.18543207279562865,0.17091261692584025,0.724470938805909,0.4815569806942861,236.59318073454907,3236.0,0.8073881201535981,0.7165018541409147,0.7086654021489733,0.663976077548256,0.8706134931387529,0.5428656009473062,0.4865213753165902,101.45382504355926,739.2320510483714,8.12024913504695,0.19746600741656364,0.20226570545829045,0.21686534216335543,0.238084202394747,0.25851648351648354,0.2834981458590853,107.43017597333986
