arm,d_auroc_reference_minus,ci95_lo,ci95_hi,significant_95,bonf_lo,bonf_hi,significant_bonferroni,d_ms,mean_calls,n_comparisons,bonferroni_alpha
cascade::disagreement,0.2022980937148736,0.18360705474828998,0.22018541197720498,True,0.17640078103890192,0.2279979629016381,True,-47.741230269895,2.191285537700865,13,0.0038461538461538464
cascade::confidence,0.0706510203480217,0.05595534580924455,0.08494270954896334,True,0.05084320601548226,0.09165885913800972,True,-13.53492888980334,1.5290482076637824,13,0.0038461538461538464
learner::knn,0.06093120128226178,0.047896218723839215,0.07368467753271063,True,0.04197979347361632,0.08005328861305905,True,-14.379358008893874,1.0,13,0.0038461538461538464
cascade::learned_deferral,0.0458151589642552,0.031138633774729908,0.060875684051878765,True,0.02514878219161375,0.06925042925860805,True,-55.66709669376681,1.7821075401730533,13,0.0038461538461538464
learner::mlp,0.03744538121301264,0.02779835776687232,0.04665508746113637,True,0.024071473445513004,0.051741781261511195,True,-20.912890466801528,1.0,13,0.0038461538461538464
learner::ridge,0.034217930921514705,0.02078105270459546,0.04644211601595244,True,0.015861106676908387,0.05456979364882224,True,-36.00720400425706,1.0,13,0.0038461538461538464
learner::tree,0.03261468270871683,0.025505409920562248,0.03915479134630866,True,0.0223375611165671,0.04202003524249091,True,-1.3450265850710963,1.0,13,0.0038461538461538464
learner::hgb,0.029074857159696786,0.021219175399232227,0.03684186574133543,True,0.01763388513957921,0.04041881664583753,True,0.6190772055129372,1.0,13,0.0038461538461538464
learner::extra_trees,0.021150698289973225,0.01170903675787956,0.03028008109726519,True,0.007528695401708894,0.035358470597818624,True,-23.255446961810378,1.0,13,0.0038461538461538464
learner::gbr,0.017610911012854412,0.011710096593451765,0.023456449979631075,True,0.008529981740278084,0.02562949123138643,True,-5.347814341438166,1.0,13,0.0038461538461538464
second::verifier_confidence,0.005135821236542182,0.0006512834581634974,0.009778411066140025,True,-0.0014843035607115368,0.012256904259785043,False,-22.295259835493738,1.204264524103832,13,0.0038461538461538464
second::discounted_margin,0.0001253022044997554,-0.002962478072468951,0.0029787061539525146,False,-0.004190303214713212,0.004291801871465914,False,-14.430003178250914,1.1191903584672436,13,0.0038461538461538464
second::raw_margin,-0.005895958602049922,-0.012469957034988773,-2.564588248252541e-05,True,-0.01581866113213263,0.003026494113610117,False,-19.73518661352466,1.1633498145859085,13,0.0038461538461538464
