pool,b_val_auroc,b_val_ms,min_share,a_val_auroc,a_sd,a_val_ms,joint_auroc,rank_a,rank_joint
alignscore+lettuce_v2+qwen30_judge,0.7698046430941711,582.3505657144257,0.1710817037998001,0.7646037894123088,0.0039086390183828805,552.3237937969196,0.76720421625324,1,1
alignscore+factcg+factkb,0.7709714250594202,370.3454116149873,0.1260217225960694,0.7604238731465393,0.0019194762872339422,366.608217968978,0.7656976491029797,3,2
alignscore+factcg+granite_guardian_3_1_2b,0.7725985182109013,379.7113879684595,0.1276598229827864,0.7571368015040173,0.0029190785245300378,390.995860516503,0.7648676598574593,5,3
alignscore+lettuce_v2+qwen30_fast,0.77012074588575,450.8452997434395,0.2279934592584221,0.7592312975138443,0.0048410438326196795,446.1945194724176,0.7646760216997972,4,4
alignscore+lettuce_v2+wecheck,0.765903346664242,548.6403332814655,0.1393191662267275,0.7633144622369282,0.0006534316577849422,564.7414476199367,0.764608904450585,2,5
alignscore+factcg+wecheck,0.7726389946016698,390.7606448700394,0.081347285874628,0.7541320952094349,0.0029361497782973357,415.9036572946551,0.7633855449055524,9,6
alignscore+factcg+qwen30_judge,0.7711307005095138,442.9049328707655,0.0703154802931278,0.7542377221922523,0.0033478807627224413,464.5854646126627,0.762684211350883,8,7
alignscore+factcg+granite_guardian_3_2_3b_a800m,0.7682660067805205,356.8482546561062,0.0833487050991688,0.7555555863730559,0.0016543112191943297,389.67104393722485,0.7619107965767882,6,8
factcg+granite_guardian_3_1_2b+qwen30_judge,0.7680595219198253,391.6819854934818,0.1059841951620926,0.7550180213038299,0.0017024796887159781,451.7530610127818,0.7615387716118276,7,9
factcg+granite_guardian_3_1_2b+wecheck,0.7698153373285805,384.9211648023671,0.1504082155394492,0.7502556542794183,0.001851857790661927,398.05346312904703,0.7600354958039994,14,10
factcg+granite_guardian_3_2_8b_factuality+wecheck,0.769502899060166,449.1673861387641,0.0500571283968373,0.7497666884084132,0.006109380058551264,421.10024704602137,0.7596347937342895,16,11
factcg+qwen30_judge+wecheck,0.7654026501315194,433.5268970307948,0.2021188243376504,0.7523272837039061,0.002162232131281644,441.84381376147803,0.7588649669177128,10,12
factcg+granite_guardian_3_2_8b_factuality+qwen30_judge,0.7668029409586389,505.74601705251206,0.0506886187540419,0.7489189914233354,0.0029725875704641677,510.179553267325,0.7578609661909872,17,13
alignscore+factcg+qwen30_fast,0.764487186296416,408.7579261005253,0.1927568326579498,0.7512089166123124,0.005728408475628666,397.8536455236368,0.7578480514543642,12,14
alignscore+factcg+lettuce_v2,0.7642890102398541,439.13230909284937,0.0994283680263104,0.7498293095693425,0.005382350016912646,436.3673297124409,0.7570591599045983,15,15
factcg+factkb+granite_guardian_3_2_8b_factuality,0.7630159788381448,460.0936228991733,0.0679970506619284,0.7507907385398576,0.0019032217792855277,430.627798126382,0.7569033586890012,13,16
factcc+lettuce_v2+qwen30_judge,0.7628369651469287,251.9531663610932,0.1433612553621122,0.7488774802502196,0.0023443772654533866,246.93803011039842,0.7558572226985741,18,17
factcc+granite_guardian_3_1_2b+lettuce_v2,0.7593011239959708,89.92130201361852,0.1364494862312429,0.752073532405141,0.004517558881187611,93.27301667111871,0.7556873282005558,11,18
factcg+lettuce_v2+wecheck,0.7629716366958801,389.8659528182785,0.1157013995664456,0.7477995149017251,0.002676801407587018,392.4195571369182,0.7553855757988026,19,19
factcg+qwen30_fast+qwen30_judge,0.7641813473912882,501.6611783220748,0.1791368959107129,0.7462814756467016,0.002999429465318984,475.84480380731856,0.7552314115189949,20,20
factcg+qwen30_fast+wecheck,0.7664966013818288,370.9960088655727,0.1862622976230624,0.740586016343445,0.006516240903132889,363.2549937469316,0.7535413088626369,21,21
