system,d_auroc,ci95_lo,ci95_hi,sig95,bonf_lo,bonf_hi,sig_bonf,n_comparisons
factcc,0.26092686623208355,0.24531776617306011,0.276166805629568,True,0.23601782514188274,0.2837413734893174,True,15
lettuce_v2,0.18113871420243183,0.16806939836812473,0.19417426097745075,True,0.1592660421385516,0.20031647990208362,True,15
granite_guardian_4_1_3b_factuality_lora,0.17442735730869716,0.15853788217854556,0.19067319500535815,True,0.15081791242800888,0.19778307538142753,True,15
hhem,0.1687751049528262,0.15473311486476699,0.18251769377648552,True,0.14600231565413577,0.19208215674850362,True,15
minicheck_dbta,0.1568776632872026,0.14095977047990277,0.17235740036027528,True,0.13034520641376118,0.18150764920370838,True,15
granite_guardian_3_2_3b_a800m,0.12958395493145788,0.11506721074441477,0.1438290267078483,True,0.10770848973454895,0.15025801290759572,True,15
granite_guardian_3_2_8b_factuality,0.12301634366116498,0.11039696408119709,0.1352325908604419,True,0.10381470737983406,0.13936724506124276,True,15
factkb,0.1189806100851688,0.10576047621034618,0.13250483759753326,True,0.09920821726463742,0.13783999351660398,True,15
minicheck_ft5,0.09213034503911131,0.07835365406302633,0.10696737902485062,True,0.06982840803393629,0.11329928409234642,True,15
wecheck,0.05992655275493417,0.04625345557058231,0.0732129669771745,True,0.03905190186098904,0.0791323921580228,True,15
granite_guardian_3_1_2b,0.053063669689804235,0.041041103710494194,0.06568284943201702,True,0.03667074565317325,0.07121630415012678,True,15
factcg,0.038295445447646494,0.024246896702400562,0.052351133597975864,True,0.01732552961416173,0.057932944154192346,True,15
qwen30_judge,0.029403364466801307,0.01590058301421067,0.04233722003284485,True,0.008633844943579364,0.04774269549089264,True,15
qwen30_fast,0.02437240577925568,0.012739051928806935,0.03612227770197901,True,0.006512808938392261,0.041544232764819576,True,15
alignscore,0.012170141414278069,0.0005399515403129047,0.023488553129714138,True,-0.005447790752404424,0.03233943911995878,False,15
