system,d_auroc_ours_minus,ci_lo,ci_hi,significant,d_ms
fixed::granite_guardian_4_1_3b_factuality_lora,0.3411650655616803,0.3150182553906025,0.3663718001432346,True,-291.3109264905364
fixed::factcc,0.2366158951625465,0.2089125218564366,0.2646907402956909,True,47.84220425200597
fixed::lettuce_v2,0.2168961067143076,0.197663268123149,0.2363589397125822,True,23.837124145845465
fixed::hhem,0.1875180212814733,0.1636799728434471,0.2104737562098664,True,-137.85303469848
fixed::granite_guardian_3_2_8b_factuality,0.1753226799669177,0.1496191899361165,0.2010584330673753,True,-604.5700221654276
fixed::minicheck_dbta,0.1347125569725088,0.1098278293563566,0.1609021104370971,True,-395.1964499600721
fixed::minicheck_ft5,0.0770058016375016,0.0550414034415501,0.0985087283430122,True,-278.5840345122368
fixed::granite_guardian_3_2_3b_a800m,0.0538740349261715,0.0322181750038387,0.075166437136536,True,-178.42700975058037
fixed::factkb,0.0480624850021986,0.0280441170508902,0.068546716581004,True,48.430207466135485
fixed::wecheck,0.0459198326140127,0.0248946381162687,0.0664171473157669,True,-410.5681117368029
fixed::factcg,0.0349771306254432,0.0137083252853705,0.0560714610525738,True,-342.0593675524152
fixed::granite_guardian_3_1_2b,0.0173242162010316,0.0004495627052016,0.0336770796049633,True,-46.36728455989712
fixed::alignscore,0.002044925088494,-0.0148897936593372,0.0188860182186495,False,-476.2058384861455
fixed::qwen30_judge,0.0010423926367924,-0.0156650156346739,0.0178269373923488,False,-515.421322794325
fixed::qwen30_fast,-0.0178483881597453,-0.0346799828378983,-0.0011347973519873,True,-126.20202366954872
