system,d_auroc_ours_minus,ci_lo,ci_hi,significant,d_ms
fixed::factcc,0.2549075834407387,0.23813039703268965,0.2718489960246692,True,43.02816128822968
fixed::lettuce_v2,0.18528910373725652,0.17123875557754437,0.19757361853900113,True,14.211514985013267
fixed::hhem,0.18383600465479738,0.16709030999810082,0.199494531758767,True,-61.75441356417686
fixed::granite_guardian_4_1_3b_factuality_lora,0.16620397777695084,0.14912831655989758,0.18309488807007446,True,-360.92240532845807
fixed::minicheck_dbta,0.1461006881838284,0.12981394913387903,0.1618122251397064,True,-385.4446301920789
fixed::granite_guardian_3_2_8b_factuality,0.128512686239819,0.11307249449705269,0.1425494044721189,True,-923.4359126442099
fixed::granite_guardian_3_2_3b_a800m,0.12277683245999498,0.10687637882886913,0.13877251157584722,True,-156.03209115106125
fixed::factkb,0.11216262867504034,0.09706568317497048,0.1268985146033413,True,43.42613820594691
fixed::minicheck_ft5,0.08695003929740526,0.07169014365219437,0.101826308150043,True,-363.12209693301634
fixed::wecheck,0.051187415922158454,0.03692043870746066,0.06565463542543822,True,-271.42913057936534
fixed::granite_guardian_3_1_2b,0.04410958958173352,0.03177982589223041,0.05683819650821878,True,-89.4552440549747
fixed::factcg,0.03067044925334932,0.015232710888499484,0.04557778577587072,True,-342.050547362216
fixed::qwen30_judge,0.0267222778512607,0.013907452409928937,0.03960527674123011,True,-554.853385933509
fixed::qwen30_fast,0.023270107924093418,0.011218255159402031,0.03508987369700392,True,-185.4590837870669
OURS_current_pool,0.017709620929448434,0.005703119556416201,0.029707298703393472,True,-468.81835101990714
fixed::alignscore,0.004193470090558804,-0.00788688037966828,0.016214789765400486,False,-589.4073495439775
