system,d_auroc_ours_minus,ci_lo,ci_hi,significant,d_ms
fixed::granite_guardian_4_1_3b_factuality_lora,0.34116506556168036,0.3150182553906025,0.36637180014323467,True,-291.3109264905364
fixed::factcc,0.23661589516254655,0.20891252185643663,0.2646907402956909,True,47.84220425200597
fixed::lettuce_v2,0.2168961067143076,0.197663268123149,0.23635893971258223,True,23.837124145845465
fixed::hhem,0.18751802128147332,0.16367997284344715,0.2104737562098664,True,-137.85303469848
fixed::granite_guardian_3_2_8b_factuality,0.17532267996691772,0.14961918993611653,0.2010584330673753,True,-604.5700221654276
fixed::minicheck_dbta,0.1347125569725088,0.10982782935635665,0.1609021104370971,True,-395.1964499600721
fixed::minicheck_ft5,0.0770058016375016,0.0550414034415501,0.09850872834301222,True,-278.5840345122368
fixed::granite_guardian_3_2_3b_a800m,0.05387403492617154,0.032218175003838785,0.07516643713653609,True,-178.42700975058037
fixed::factkb,0.04806248500219869,0.02804411705089021,0.06854671658100403,True,48.430207466135485
fixed::wecheck,0.04591983261401279,0.02489463811626879,0.06641714731576694,True,-410.56811173680285
fixed::factcg,0.03497713062544329,0.013708325285370583,0.056071461052573886,True,-342.0593675524152
OURS_current_pool,0.01976406903791711,0.004621597085270734,0.034456580814400416,True,-390.2334557145871
fixed::granite_guardian_3_1_2b,0.01732421620103165,0.0004495627052016552,0.03367707960496335,True,-46.367284559897115
fixed::alignscore,0.0020449250884940874,-0.014889793659337238,0.018886018218649544,False,-476.20583848614547
fixed::qwen30_judge,0.0010423926367924107,-0.015665015634673908,0.017826937392348852,False,-515.421322794325
fixed::qwen30_fast,-0.017848388159745397,-0.03467998283789834,-0.0011347973519873268,True,-126.20202366954871
